"Key            Name:Suffix                                Trend Definitions Used"
"Point_1:","1AAD7-25_1-P040 ROOM TEMP","","5 minutes"
"Point_2:","1AAD7-26_1-P040 ROOM HUM","","5 minutes"
"Point_3:","1AAD5-27_1-W128 ROOM PRES","","5 minutes"
"Time Interval:","5 Minutes"
"Date Range:","4/6/2026 00:00:00 - 4/6/2026 23:55:00"
"Report Timings:","All Hours"
""
"<>Date","Time","Point_1","Point_2","Point_3"
"4/6/2026","00:00:00","17.8","48.0","19.0"
"4/6/2026","00:05:00","17.8","48.4","19.3"
"4/6/2026","00:10:00","17.8","48.4","19.5"
"4/6/2026","00:15:00","17.8","48.9","19.9"
"4/6/2026","00:20:00","17.8","48.9","19.9"
"4/6/2026","00:25:00","17.8","49.6","19.8"
"4/6/2026","00:30:00","17.8","49.4","19.8"
"4/6/2026","00:35:00","17.8","49.4","19.8"
"4/6/2026","00:40:00","17.7","49.9","19.7"
"4/6/2026","00:45:00","17.8","50.2","19.4"
"4/6/2026","00:50:00","17.8","50.5","19.8"
"4/6/2026","00:55:00","17.8","50.9","19.5"
"4/6/2026","01:00:00","17.8","51.0","19.7"
"4/6/2026","01:05:00","17.8","51.3","19.2"
"4/6/2026","01:10:00","17.7","51.9","19.4"
"4/6/2026","01:15:00","17.8","52.1","18.9"
"4/6/2026","01:20:00","17.7","51.7","19.0"
"4/6/2026","01:25:00","17.8","51.7","19.2"
"4/6/2026","01:30:00","17.7","51.8","19.2"
"4/6/2026","01:35:00","17.7","51.6","19.2"
"4/6/2026","01:40:00","17.7","51.9","19.5"
"4/6/2026","01:45:00","17.7","52.0","19.2"
"4/6/2026","01:50:00","17.8","52.3","19.3"
"4/6/2026","01:55:00","17.7","52.0","19.2"
"4/6/2026","02:00:00","17.7","51.8","19.4"
"4/6/2026","02:05:00","17.7","51.3","19.3"
"4/6/2026","02:10:00","17.7","51.7","19.3"
"4/6/2026","02:15:00","17.7","51.9","19.5"
"4/6/2026","02:20:00","17.7","51.5","19.5"
"4/6/2026","02:25:00","17.7","51.4","19.4"
"4/6/2026","02:30:00","17.7","51.3","19.6"
"4/6/2026","02:35:00","17.7","50.8","19.4"
"4/6/2026","02:40:00","17.7","51.0","19.5"
"4/6/2026","02:45:00","17.7","50.8","19.6"
"4/6/2026","02:50:00","17.6","50.8","19.3"
