"Key            Name:Suffix                                Trend Definitions Used"
"Point_1:","1A049-25_1-P042 ROOM TEMP","","5 minutes"
"Point_2:","1A049-26_1-P042 ROOM HUM","","5 minutes"
"Point_3:","1A042.3-4_1-P039 ROOM PRES","","5 minutes"
"Time Interval:","5 Minutes"
"Date Range:","4/6/2026 00:00:00 - 4/6/2026 23:55:00"
"Report Timings:","All Hours"
""
"<>Date","Time","Point_1","Point_2","Point_3"
"4/6/2026","00:00:00","18.5","42.4","15.2"
"4/6/2026","00:05:00","17.9","44.0","13.9"
"4/6/2026","00:10:00","17.8","43.6","15.5"
"4/6/2026","00:15:00","18.6","41.9","15.7"
"4/6/2026","00:20:00","19.0","40.8","15.9"
"4/6/2026","00:25:00","18.5","42.7","15.5"
"4/6/2026","00:30:00","17.9","44.2","15.9"
"4/6/2026","00:35:00","17.9","43.3","15.3"
"4/6/2026","00:40:00","18.7","41.2","15.4"
"4/6/2026","00:45:00","18.8","41.2","14.9"
"4/6/2026","00:50:00","18.4","42.8","16.0"
"4/6/2026","00:55:00","17.8","44.5","15.5"
"4/6/2026","01:00:00","18.0","43.0","15.4"
"4/6/2026","01:05:00","18.8","40.8","14.6"
"4/6/2026","01:10:00","18.9","41.1","15.2"
"4/6/2026","01:15:00","18.4","42.9","15.3"
"4/6/2026","01:20:00","17.8","44.5","14.5"
"4/6/2026","01:25:00","18.1","43.0","14.2"
"4/6/2026","01:30:00","18.8","40.6","16.3"
"4/6/2026","01:35:00","18.7","41.5","16.0"
"4/6/2026","01:40:00","18.2","43.4","15.2"
"4/6/2026","01:45:00","17.8","44.2","15.6"
"4/6/2026","01:50:00","18.2","42.4","13.7"
"4/6/2026","01:55:00","18.9","40.3","15.1"
"4/6/2026","02:00:00","18.6","42.2","15.4"
"4/6/2026","02:05:00","18.0","43.7","14.8"
"4/6/2026","02:10:00","17.8","43.9","15.0"
"4/6/2026","02:15:00","18.4","41.7","14.8"
"4/6/2026","02:20:00","19.0","40.5","14.7"
"4/6/2026","02:25:00","18.6","42.2","15.7"
"4/6/2026","02:30:00","18.0","43.9","14.8"
"4/6/2026","02:35:00","17.9","43.5","15.4"
"4/6/2026","02:40:00","18.5","41.5","15.2"
"4/6/2026","02:45:00","18.8","41.3","15.5"
"4/6/2026","02:50:00","18.3","43.1","14.0"
"4/6/2026","02:55:00","17.8","44.5","15.0"
"4/6/2026","03:00:00","18.1","42.9","13.8"
"4/6/2026","03:05:00","18.8","40.7","14.3"
"4/6/2026","03:10:00","18.6","41.8","15.1"
"4/6/2026","03:15:00","18.1","43.7","14.8"
"4/6/2026","03:20:00","17.7","44.2","15.7"
"4/6/2026","03:25:00","18.3","42.4","14.3"
"4/6/2026","03:30:00","18.9","40.7","15.2"
"4/6/2026","03:35:00","18.5","42.5","14.9"
"4/6/2026","03:40:00","17.9","44.1","15.5"
"4/6/2026","03:45:00","17.8","43.6","14.5"
"4/6/2026","03:50:00","18.5","41.9","15.4"
"4/6/2026","03:55:00","18.9","41.1","15.5"
"4/6/2026","04:00:00","18.4","42.8","14.8"
"4/6/2026","04:05:00","17.8","44.5","14.0"
"4/6/2026","04:10:00","17.9","43.3","15.6"
"4/6/2026","04:15:00","18.7","41.6","13.9"
"4/6/2026","04:20:00","18.9","41.4","15.5"
"4/6/2026","04:25:00","18.4","43.0","14.8"
"4/6/2026","04:30:00","17.8","44.6","16.4"
"4/6/2026","04:35:00","18.1","43.1","13.4"
"4/6/2026","04:40:00","18.8","40.6","15.3"
"4/6/2026","04:45:00","18.7","41.6","14.5"
"4/6/2026","04:50:00","18.1","43.5","15.9"
"4/6/2026","04:55:00","17.7","44.6","15.6"
"4/6/2026","05:00:00","18.1","43.0","13.9"
"4/6/2026","05:05:00","18.9","40.7","14.4"
"4/6/2026","05:10:00","18.8","41.9","14.7"
"4/6/2026","05:15:00","18.2","43.4","15.2"
"4/6/2026","05:20:00","17.6","44.8","14.9"
"4/6/2026","05:25:00","18.1","42.9","14.6"
"4/6/2026","05:30:00","18.9","41.1","15.5"
"4/6/2026","05:35:00","18.8","41.9","14.3"
"4/6/2026","05:40:00","18.2","43.5","14.7"
"4/6/2026","05:45:00","17.7","44.7","15.1"
"4/6/2026","05:50:00","18.1","42.8","13.4"
"4/6/2026","05:55:00","18.9","40.7","15.5"
"4/6/2026","06:00:00","18.7","41.9","15.3"
"4/6/2026","06:05:00","18.1","43.7","14.2"
"4/6/2026","06:10:00","17.7","44.2","14.4"
"4/6/2026","06:15:00","18.3","42.2","14.5"
"4/6/2026","06:20:00","19.0","40.5","15.3"
"4/6/2026","06:25:00","18.6","42.4","14.7"
"4/6/2026","06:30:00","17.9","43.9","15.3"
"4/6/2026","06:35:00","17.8","44.1","14.9"
"4/6/2026","06:40:00","18.4","42.4","14.3"
"4/6/2026","06:45:00","19.0","40.9","14.8"
"4/6/2026","06:50:00","18.6","42.4","15.6"
"4/6/2026","06:55:00","18.0","44.0","14.4"
"4/6/2026","07:00:00","17.8","43.8","14.7"
"4/6/2026","07:05:00","18.5","41.9","15.0"
