"Key            Name:Suffix                                Trend Definitions Used"
"Point_1:","1A075-25_1-P052 ROOM TEMP","","5 minutes"
"Point_2:","1A075-26_1-P052 ROOM HUM","","5 minutes"
"Point_3:","1A073-27_1-P067 ROOM PRES","","5 minutes"
"Time Interval:","5 Minutes"
"Date Range:","4/6/2026 00:00:00 - 4/6/2026 23:55:00"
"Report Timings:","All Hours"
""
"<>Date","Time","Point_1","Point_2","Point_3"
"4/6/2026","00:00:00","21.9","50.3","30.1"
"4/6/2026","00:05:00","22.0","50.1","29.9"
"4/6/2026","00:10:00","22.0","50.2","29.7"
"4/6/2026","00:15:00","21.9","50.7","30.1"
"4/6/2026","00:20:00","21.8","50.8","30.4"
"4/6/2026","00:25:00","21.9","50.6","30.7"
"4/6/2026","00:30:00","22.0","50.3","30.0"
"4/6/2026","00:35:00","22.0","50.3","29.5"
"4/6/2026","00:40:00","21.9","50.8","29.9"
"4/6/2026","00:45:00","21.8","50.8","30.4"
"4/6/2026","00:50:00","21.9","50.6","30.0"
"4/6/2026","00:55:00","22.0","50.3","30.2"
"4/6/2026","01:00:00","22.0","50.3","30.0"
"4/6/2026","01:05:00","22.0","50.6","29.8"
"4/6/2026","01:10:00","21.8","51.0","30.2"
"4/6/2026","01:15:00","21.8","50.9","30.0"
"4/6/2026","01:20:00","21.9","50.7","30.2"
"4/6/2026","01:25:00","22.0","50.4","29.9"
"4/6/2026","01:30:00","22.0","50.7","29.7"
"4/6/2026","01:35:00","21.8","51.1","29.7"
"4/6/2026","01:40:00","21.8","50.9","29.9"
"4/6/2026","01:45:00","22.0","50.6","30.1"
"4/6/2026","01:50:00","22.0","50.5","29.6"
"4/6/2026","01:55:00","21.9","50.9","30.2"
"4/6/2026","02:00:00","21.8","51.0","30.1"
"4/6/2026","02:05:00","21.9","50.9","30.1"
"4/6/2026","02:10:00","22.0","50.6","30.1"
"4/6/2026","02:15:00","22.0","50.5","29.7"
"4/6/2026","02:20:00","22.0","50.8","30.0"
"4/6/2026","02:25:00","21.8","51.1","30.2"
"4/6/2026","02:30:00","21.8","50.9","30.4"
"4/6/2026","02:35:00","21.9","50.6","30.2"
"4/6/2026","02:40:00","22.0","50.5","29.9"
"4/6/2026","02:45:00","22.0","50.8","30.2"
"4/6/2026","02:50:00","21.8","51.2","30.0"
"4/6/2026","02:55:00","21.9","50.9","30.1"
"4/6/2026","03:00:00","21.9","50.6","30.2"
"4/6/2026","03:05:00","22.0","50.6","29.8"
"4/6/2026","03:10:00","22.0","50.9","29.7"
"4/6/2026","03:15:00","21.8","51.3","30.1"
