"Key            Name:Suffix                                Trend Definitions Used"
"Point_1:","1AAD1-25_1-P088 ROOM TEMP","","5 minutes"
"Point_2:","1AAD1-26_1-P088 ROOM HUM","","5 minutes"
"Point_3:","1AAD1-27_1-P088 ROOM PRES","","5 minutes"
"Time Interval:","5 Minutes"
"Date Range:","1/4/2026 00:00:00 - 1/4/2026 23:59:59"
"Report Timings:","All Hours"
""
"<>Date","Time","Point_1","Point_2","Point_3"
"1/4/2026","00:00:00","18.2","40.5","14.8"
"1/4/2026","00:05:00","18.3","40.3","15.4"
"1/4/2026","00:10:00","18.3","41.0","15.0"
"1/4/2026","00:15:00","18.2","40.9","14.9"
"1/4/2026","00:20:00","18.2","40.7","14.6"
"1/4/2026","00:25:00","18.2","40.4","14.9"
"1/4/2026","00:30:00","18.2","40.7","15.2"
"1/4/2026","00:35:00","18.2","41.0","15.0"
"1/4/2026","00:40:00","18.2","40.9","14.7"
"1/4/2026","00:45:00","18.3","40.4","14.8"
"1/4/2026","00:50:00","18.2","40.7","15.1"
"1/4/2026","00:55:00","18.2","41.0","15.0"
"1/4/2026","01:00:00","18.2","40.7","15.4"
"1/4/2026","01:05:00","18.2","40.6","15.2"
"1/4/2026","01:10:00","18.2","40.4","15.1"
"1/4/2026","01:15:00","18.2","40.9","14.9"
"1/4/2026","01:20:00","18.3","40.7","15.3"
"1/4/2026","01:25:00","18.3","40.0","14.8"
"1/4/2026","01:30:00","18.3","40.8","15.1"
"1/4/2026","01:35:00","18.3","40.5","15.5"
"1/4/2026","01:40:00","18.3","40.1","15.2"
"1/4/2026","01:45:00","18.3","40.8","14.9"
"1/4/2026","01:50:00","18.3","40.6","14.8"
"1/4/2026","01:55:00","18.3","40.2","14.9"
"1/4/2026","02:00:00","18.3","40.8","15.1"
"1/4/2026","02:05:00","18.3","40.7","14.4"
"1/4/2026","02:10:00","18.2","40.4","15.4"
"1/4/2026","02:15:00","18.2","41.1","15.1"
"1/4/2026","02:20:00","18.2","40.8","15.0"
"1/4/2026","02:25:00","18.2","40.7","15.3"
"1/4/2026","02:30:00","18.2","40.8","15.3"
"1/4/2026","02:35:00","18.1","41.3","15.3"
"1/4/2026","02:40:00","18.1","41.2","15.1"
"1/4/2026","02:45:00","18.1","40.8","15.1"
"1/4/2026","02:50:00","18.1","41.0","15.2"
"1/4/2026","02:55:00","18.1","41.1","15.1"
"1/4/2026","03:00:00","18.1","41.2","15.1"
"1/4/2026","03:05:00","18.1","41.1","14.6"
"1/4/2026","03:10:00","18.1","41.0","14.7"
"1/4/2026","03:15:00","18.1","40.9","15.3"
"1/4/2026","03:20:00","18.1","40.8","15.2"
"1/4/2026","03:25:00","18.1","41.2","14.9"
"1/4/2026","03:30:00","18.0","41.4","14.5"
"1/4/2026","03:35:00","18.1","41.4","14.9"
"1/4/2026","03:40:00","18.1","41.0","14.7"
"1/4/2026","03:45:00","18.1","40.7","15.0"
"1/4/2026","03:50:00","18.0","40.9","15.1"
"1/4/2026","03:55:00","18.0","41.2","14.4"
"1/4/2026","04:00:00","18.0","41.2","14.8"
"1/4/2026","04:05:00","18.1","41.1","15.2"
"1/4/2026","04:10:00","18.1","41.2","14.9"
"1/4/2026","04:15:00","18.0","41.3","15.0"
"1/4/2026","04:20:00","18.0","41.1","14.9"
"1/4/2026","04:25:00","18.1","40.8","14.9"
"1/4/2026","04:30:00","18.1","41.3","14.8"
"1/4/2026","04:35:00","18.0","41.3","15.1"
"1/4/2026","04:40:00","18.1","41.0","14.6"
"1/4/2026","04:45:00","18.1","41.2","15.1"
"1/4/2026","04:50:00","18.1","41.0","15.5"
"1/4/2026","04:55:00","18.1","40.9","15.5"
