"Key            Name:Suffix                                Trend Definitions Used"
"Point_1:","1A117-25_1-W095 ROOM TEMP","","5 minutes"
"Point_2:","1A117-26_1-W095 ROOM HUM","","5 minutes"
"Point_3:","1A117-27_1-W095 ROOM PRES","","5 minutes"
"Time Interval:","5 Minutes"
"Date Range:","1/4/2026 00:00:00 - 1/4/2026 23:59:59"
"Report Timings:","All Hours"
""
"<>Date","Time","Point_1","Point_2","Point_3"
"1/4/2026","00:00:00","17.9","29.2","14.8"
"1/4/2026","00:05:00","17.9","30.2","14.9"
"1/4/2026","00:10:00","17.9","28.7","15.1"
"1/4/2026","00:15:00","17.8","27.1","15.1"
"1/4/2026","00:20:00","17.8","26.1","14.7"
"1/4/2026","00:25:00","17.9","25.2","15.2"
"1/4/2026","00:30:00","18.0","24.6","15.1"
"1/4/2026","00:35:00","18.0","25.9","15.3"
"1/4/2026","00:40:00","18.0","29.2","15.4"
"1/4/2026","00:45:00","17.9","30.0","14.9"
"1/4/2026","00:50:00","17.9","28.5","14.7"
"1/4/2026","00:55:00","17.9","27.0","15.4"
"1/4/2026","01:00:00","17.9","25.9","14.7"
"1/4/2026","01:05:00","17.9","25.1","15.4"
"1/4/2026","01:10:00","18.0","24.6","14.8"
"1/4/2026","01:15:00","17.9","26.1","15.1"
"1/4/2026","01:20:00","17.9","29.7","15.1"
"1/4/2026","01:25:00","17.9","30.3","15.0"
"1/4/2026","01:30:00","17.9","28.5","14.9"
"1/4/2026","01:35:00","17.9","26.9","14.9"
"1/4/2026","01:40:00","17.9","25.9","14.9"
"1/4/2026","01:45:00","17.9","25.0","14.3"
"1/4/2026","01:50:00","17.9","24.5","15.4"
"1/4/2026","01:55:00","17.9","26.4","15.0"
"1/4/2026","02:00:00","17.9","29.9","15.2"
"1/4/2026","02:05:00","18.0","30.0","14.9"
"1/4/2026","02:10:00","17.9","28.3","15.2"
"1/4/2026","02:15:00","17.9","26.9","14.7"
"1/4/2026","02:20:00","17.9","25.8","15.5"
"1/4/2026","02:25:00","17.9","25.0","14.7"
"1/4/2026","02:30:00","17.9","24.6","15.3"
"1/4/2026","02:35:00","17.9","26.6","15.3"
"1/4/2026","02:40:00","18.0","30.1","15.0"
"1/4/2026","02:45:00","17.9","29.8","15.3"
"1/4/2026","02:50:00","17.9","28.2","13.9"
"1/4/2026","02:55:00","17.9","26.9","15.8"
"1/4/2026","03:00:00","17.9","25.9","15.4"
"1/4/2026","03:05:00","18.0","25.1","14.8"
"1/4/2026","03:10:00","17.9","24.7","15.3"
"1/4/2026","03:15:00","18.0","26.4","15.0"
"1/4/2026","03:20:00","17.9","29.8","15.0"
