"Key            Name:Suffix                                Trend Definitions Used"
"Point_1:","2A074-25_2-P087 ROOM TEMP","","5 minutes"
"Point_2:","1AWX102-26_1-W126 ROOM HUM","","5 minutes"
"Point_3:","1AWX102-25_1-W125 ROOM PRESS","","5 minutes"
"Time Interval:","5 Minutes"
"Date Range:","4/6/2026 00:00:00 - 4/6/2026 23:55:00"
"Report Timings:","All Hours"
""
"<>Date","Time","Point_1","Point_2","Point_3"
"4/6/2026","00:00:00","20.1","45.5","15.3"
"4/6/2026","00:05:00","20.0","45.4","14.9"
"4/6/2026","00:10:00","20.0","45.6","14.8"
"4/6/2026","00:15:00","20.0","45.7","14.3"
"4/6/2026","00:20:00","20.0","45.5","15.5"
"4/6/2026","00:25:00","20.1","45.6","14.3"
"4/6/2026","00:30:00","20.0","45.8","14.8"
"4/6/2026","00:35:00","20.1","45.7","15.4"
"4/6/2026","00:40:00","20.0","45.6","15.4"
"4/6/2026","00:45:00","20.0","45.7","15.3"
"4/6/2026","00:50:00","20.0","45.6","14.5"
"4/6/2026","00:55:00","20.0","45.6","14.6"
"4/6/2026","01:00:00","20.0","45.6","14.8"
"4/6/2026","01:05:00","20.0","45.6","14.4"
"4/6/2026","01:10:00","20.0","45.7","14.5"
"4/6/2026","01:15:00","20.1","45.6","15.4"
"4/6/2026","01:20:00","20.0","45.6","15.7"
"4/6/2026","01:25:00","20.0","45.6","15.7"
"4/6/2026","01:30:00","20.0","45.5","15.6"
"4/6/2026","01:35:00","19.9","45.7","16.4"
"4/6/2026","01:40:00","20.0","45.7","15.0"
"4/6/2026","01:45:00","20.0","45.8","16.2"
"4/6/2026","01:50:00","19.9","45.8","14.8"
"4/6/2026","01:55:00","19.9","46.0","14.1"
"4/6/2026","02:00:00","19.9","45.9","14.8"
"4/6/2026","02:05:00","19.9","45.8","14.3"
"4/6/2026","02:10:00","19.9","45.9","14.7"
"4/6/2026","02:15:00","19.9","45.6","14.7"
"4/6/2026","02:20:00","19.9","45.7","15.3"
"4/6/2026","02:25:00","19.9","45.7","15.3"
"4/6/2026","02:30:00","19.9","45.5","15.1"
"4/6/2026","02:35:00","19.9","45.8","14.5"
"4/6/2026","02:40:00","19.9","45.5","15.1"
"4/6/2026","02:45:00","19.9","45.6","14.8"
"4/6/2026","02:50:00","19.9","45.9","15.0"
"4/6/2026","02:55:00","19.9","45.8","15.0"
"4/6/2026","03:00:00","19.9","45.7","15.0"
"4/6/2026","03:05:00","19.9","46.0","14.9"
"4/6/2026","03:10:00","19.9","45.8","14.8"
"4/6/2026","03:15:00","19.9","45.9","14.8"
"4/6/2026","03:20:00","19.9","46.0","14.9"
"4/6/2026","03:25:00","19.9","45.9","15.2"
"4/6/2026","03:30:00","19.9","45.7","14.7"
"4/6/2026","03:35:00","19.9","45.9","14.8"
"4/6/2026","03:40:00","19.8","45.9","15.2"
"4/6/2026","03:45:00","19.9","46.0","15.4"
"4/6/2026","03:50:00","19.8","45.9","15.1"
"4/6/2026","03:55:00","19.8","45.9","14.7"
"4/6/2026","04:00:00","19.8","45.9","14.6"
"4/6/2026","04:05:00","19.8","46.1","14.9"
"4/6/2026","04:10:00","19.8","46.0","15.5"
"4/6/2026","04:15:00","19.8","45.8","14.6"
"4/6/2026","04:20:00","19.8","46.1","14.7"
"4/6/2026","04:25:00","19.8","45.8","15.9"
"4/6/2026","04:30:00","19.8","45.9","15.3"
"4/6/2026","04:35:00","19.7","46.0","14.8"
"4/6/2026","04:40:00","19.8","45.9","14.6"
"4/6/2026","04:45:00","19.8","46.1","14.9"
"4/6/2026","04:50:00","19.8","46.1","15.0"
"4/6/2026","04:55:00","19.7","46.0","14.7"
"4/6/2026","05:00:00","19.8","45.9","15.4"
"4/6/2026","05:05:00","19.8","45.8","14.8"
"4/6/2026","05:10:00","19.8","46.1","15.1"
"4/6/2026","05:15:00","19.7","46.1","15.2"
"4/6/2026","05:20:00","19.7","46.4","14.9"
"4/6/2026","05:25:00","19.8","46.1","14.8"
"4/6/2026","05:30:00","19.7","46.3","14.5"
"4/6/2026","05:35:00","19.8","46.0","14.5"
"4/6/2026","05:40:00","19.8","46.2","15.3"
"4/6/2026","05:45:00","19.8","46.2","15.2"
"4/6/2026","05:50:00","19.7","46.1","15.5"
"4/6/2026","05:55:00","19.7","46.1","14.8"
"4/6/2026","06:00:00","19.7","45.9","14.6"
"4/6/2026","06:05:00","19.8","46.2","14.6"
"4/6/2026","06:10:00","19.7","46.1","14.7"
"4/6/2026","06:15:00","19.8","46.3","15.3"
"4/6/2026","06:20:00","19.7","46.1","14.6"
"4/6/2026","06:25:00","19.7","46.4","15.0"
"4/6/2026","06:30:00","19.8","46.1","15.0"
"4/6/2026","06:35:00","19.7","46.3","14.0"
"4/6/2026","06:40:00","19.8","46.4","14.5"
"4/6/2026","06:45:00","19.8","46.3","15.0"
"4/6/2026","06:50:00","19.7","46.4","15.7"
"4/6/2026","06:55:00","19.7","46.6","14.8"
"4/6/2026","07:00:00","19.8","46.6","15.0"
"4/6/2026","07:05:00","19.7","46.3","15.3"
"4/6/2026","07:10:00","19.7","46.7","15.0"
"4/6/2026","07:15:00","19.7","46.5","15.4"
"4/6/2026","07:20:00","19.7","46.7","14.7"
"4/6/2026","07:25:00","19.7","46.6","14.3"
"4/6/2026","07:30:00","19.7","46.7","14.9"
"4/6/2026","07:35:00","19.7","47.6","16.2"
"4/6/2026","07:40:00","19.8","49.9","15.5"
"4/6/2026","07:45:00","19.9","50.5","15.6"
"4/6/2026","07:50:00","20.0","50.4","15.3"
