"Key            Name:Suffix                                Trend Definitions Used"
"Point_1:","2A083-25_2-P092 ROOM TEMP","","5 minutes"
"Point_2:","2A083-26_2-P092 ROOM HUM","","5 minutes"
"Point_3:","2A083-27_2-P092 ROOM PRES","","5 minutes"
"Time Interval:","5 Minutes"
"Date Range:","1/4/2026 00:00:00 - 1/4/2026 23:59:59"
"Report Timings:","All Hours"
""
"<>Date","Time","Point_1","Point_2","Point_3"
"1/4/2026","00:00:00","19.7","56.2","30.0"
"1/4/2026","00:05:00","19.7","56.0","29.9"
"1/4/2026","00:10:00","19.7","56.2","29.6"
"1/4/2026","00:15:00","19.7","56.1","30.0"
"1/4/2026","00:20:00","19.7","56.2","29.8"
"1/4/2026","00:25:00","19.7","56.3","29.8"
"1/4/2026","00:30:00","19.7","56.3","29.8"
"1/4/2026","00:35:00","19.7","56.4","29.6"
"1/4/2026","00:40:00","19.7","56.2","29.4"
"1/4/2026","00:45:00","19.7","56.1","29.6"
"1/4/2026","00:50:00","19.7","56.2","29.9"
"1/4/2026","00:55:00","19.7","56.4","29.9"
"1/4/2026","01:00:00","19.7","56.4","29.9"
"1/4/2026","01:05:00","19.7","56.3","30.2"
"1/4/2026","01:10:00","19.7","56.1","29.9"
"1/4/2026","01:15:00","19.7","56.4","30.0"
"1/4/2026","01:20:00","19.7","56.3","29.7"
"1/4/2026","01:25:00","19.7","56.1","30.1"
"1/4/2026","01:30:00","19.7","56.5","30.0"
"1/4/2026","01:35:00","19.7","56.2","30.1"
"1/4/2026","01:40:00","19.7","56.0","29.9"
"1/4/2026","01:45:00","19.7","56.2","30.4"
"1/4/2026","01:50:00","19.7","56.1","30.1"
"1/4/2026","01:55:00","19.7","55.9","30.0"
"1/4/2026","02:00:00","19.7","56.3","30.1"
"1/4/2026","02:05:00","19.7","56.4","30.2"
"1/4/2026","02:10:00","19.7","56.3","30.0"
"1/4/2026","02:15:00","19.6","56.5","29.9"
"1/4/2026","02:20:00","19.7","56.2","30.3"
"1/4/2026","02:25:00","19.7","56.1","30.2"
"1/4/2026","02:30:00","19.6","56.3","30.3"
"1/4/2026","02:35:00","19.6","56.4","30.1"
"1/4/2026","02:40:00","19.6","56.4","30.0"
"1/4/2026","02:45:00","19.6","56.2","30.3"
"1/4/2026","02:50:00","19.6","56.3","30.3"
"1/4/2026","02:55:00","19.6","56.2","30.0"
"1/4/2026","03:00:00","19.5","56.3","29.9"
"1/4/2026","03:05:00","19.6","56.4","30.3"
"1/4/2026","03:10:00","19.6","56.3","30.2"
"1/4/2026","03:15:00","19.6","56.3","29.5"
"1/4/2026","03:20:00","19.5","56.3","29.8"
"1/4/2026","03:25:00","19.5","56.4","29.9"
"1/4/2026","03:30:00","19.5","56.5","29.7"
"1/4/2026","03:35:00","19.5","56.6","29.8"
"1/4/2026","03:40:00","19.5","56.5","29.9"
"1/4/2026","03:45:00","19.5","56.5","29.8"
"1/4/2026","03:50:00","19.5","56.4","30.0"
"1/4/2026","03:55:00","19.5","56.4","29.6"
"1/4/2026","04:00:00","19.5","56.5","29.5"
"1/4/2026","04:05:00","19.5","56.5","29.7"
"1/4/2026","04:10:00","19.5","56.6","29.9"
"1/4/2026","04:15:00","19.5","56.5","29.7"
"1/4/2026","04:20:00","19.5","56.4","30.0"
"1/4/2026","04:25:00","19.5","56.3","29.9"
"1/4/2026","04:30:00","19.5","56.6","30.0"
"1/4/2026","04:35:00","19.5","56.5","30.2"
"1/4/2026","04:40:00","19.5","56.4","30.2"
"1/4/2026","04:45:00","19.5","56.6","30.1"
"1/4/2026","04:50:00","19.5","56.4","30.0"
"1/4/2026","04:55:00","19.5","56.4","30.3"
"1/4/2026","05:00:00","19.5","56.4","30.1"
"1/4/2026","05:05:00","19.5","56.4","30.1"
"1/4/2026","05:10:00","19.5","56.6","30.4"
"1/4/2026","05:15:00","19.4","56.8","30.2"
"1/4/2026","05:20:00","19.5","56.6","29.9"
"1/4/2026","05:25:00","19.5","56.4","29.7"
"1/4/2026","05:30:00","19.5","56.3","30.3"
"1/4/2026","05:35:00","19.4","56.3","30.2"
"1/4/2026","05:40:00","19.5","56.2","30.1"
"1/4/2026","05:45:00","19.4","56.1","30.2"
"1/4/2026","05:50:00","19.4","56.1","30.2"
"1/4/2026","05:55:00","19.5","56.3","30.4"
"1/4/2026","06:00:00","19.4","56.3","30.1"
"1/4/2026","06:05:00","19.4","56.1","30.5"
"1/4/2026","06:10:00","19.4","56.1","30.1"
"1/4/2026","06:15:00","19.4","56.1","30.2"
"1/4/2026","06:20:00","19.4","56.2","29.9"
"1/4/2026","06:25:00","19.3","56.1","29.8"
"1/4/2026","06:30:00","19.4","55.9","29.9"
"1/4/2026","06:35:00","19.4","56.0","29.7"
"1/4/2026","06:40:00","19.4","56.0","29.8"
"1/4/2026","06:45:00","19.4","56.1","29.6"
"1/4/2026","06:50:00","19.4","56.2","29.7"
"1/4/2026","06:55:00","19.3","56.3","29.7"
"1/4/2026","07:00:00","19.3","56.2","29.8"
"1/4/2026","07:05:00","19.4","56.2","29.9"
"1/4/2026","07:10:00","19.4","56.3","29.6"
"1/4/2026","07:15:00","19.4","56.1","29.8"
"1/4/2026","07:20:00","19.3","56.2","29.8"
"1/4/2026","07:25:00","19.3","56.1","29.9"
"1/4/2026","07:30:00","19.3","56.3","30.0"
"1/4/2026","07:35:00","19.3","56.1","30.2"
"1/4/2026","07:40:00","19.3","56.3","30.1"
