Key            Name:Suffix                                Trend Definitions Used,,,,
Point_1:,1A037-25_1-P032 ROOM TEMP,,5 minutes,
Point_2:,1A037-26_1-P032 ROOM HUM,,5 minutes,
Point_3:,1A037-27_1-P032 ROOM PRES,,5 minutes,
Time Interval:,5 Minutes,,,
Date Range:,4/6/2026 00:00:00 - 4/6/2026 23:55:00,,,
Report Timings:,All Hours,,,
,,,,
<>Date,Time,Point_1,Point_2,Point_3
04/06/2026,00:00:00,21.9,40.9,No Data
04/06/2026,00:05:00,22,40.5,No Data
04/06/2026,00:10:00,22,40.7,No Data
04/06/2026,00:15:00,21.9,41.2,No Data
04/06/2026,00:20:00,21.8,41.5,No Data
04/06/2026,00:25:00,21.8,41.6,No Data
04/06/2026,00:30:00,21.9,41,No Data
04/06/2026,00:35:00,22,40.8,No Data
04/06/2026,00:40:00,22,40.8,No Data
04/06/2026,00:45:00,21.9,41.4,No Data
04/06/2026,00:50:00,21.8,41.8,No Data
04/06/2026,00:55:00,21.8,41.8,No Data
04/06/2026,01:00:00,21.9,41.2,No Data
04/06/2026,01:05:00,22,40.8,No Data
04/06/2026,01:10:00,22,40.7,No Data
04/06/2026,01:15:00,21.9,41.1,No Data
04/06/2026,01:20:00,21.8,41.6,No Data
04/06/2026,01:25:00,21.7,41.7,No Data
04/06/2026,01:30:00,21.8,41.3,No Data
04/06/2026,01:35:00,22,40.9,No Data
04/06/2026,01:40:00,22,40.6,No Data
04/06/2026,01:45:00,22,41,No Data
04/06/2026,01:50:00,21.8,41.6,No Data
04/06/2026,01:55:00,21.7,41.8,No Data
04/06/2026,02:00:00,21.8,41.4,No Data
04/06/2026,02:05:00,21.9,41,No Data
04/06/2026,02:10:00,22.1,40.7,No Data
04/06/2026,02:15:00,22,40.9,No Data
04/06/2026,02:20:00,21.8,41.1,No Data
04/06/2026,02:25:00,21.8,41.4,No Data
04/06/2026,02:30:00,21.7,41.6,No Data
04/06/2026,02:35:00,21.9,41,No Data
04/06/2026,02:40:00,22,40.8,No Data
04/06/2026,02:45:00,22.1,40.7,No Data
04/06/2026,02:50:00,22,41,No Data
04/06/2026,02:55:00,21.8,41.5,No Data
04/06/2026,03:00:00,21.8,41.8,No Data
04/06/2026,03:05:00,21.8,41.4,No Data
