"Key            Name:Suffix                                Trend Definitions Used"
"Point_1:","1A141-25_1-P075 ROOM TEMP","","5 minutes"
"Point_2:","1A141-26_1-P075 ROOM HUM","","5 minutes"
"Point_3:","1A135-55_1-W122 ROOM PRES","","5 minutes"
"Time Interval:","5 Minutes"
"Date Range:","4/6/2026 00:00:00 - 4/6/2026 23:55:00"
"Report Timings:","All Hours"
""
"<>Date","Time","Point_1","Point_2","Point_3"
"4/6/2026","00:00:00","22.0","42.5","8.6"
"4/6/2026","00:05:00","22.0","42.5","8.4"
"4/6/2026","00:10:00","22.0","42.4","6.9"
"4/6/2026","00:15:00","22.0","42.4","6.6"
"4/6/2026","00:20:00","22.0","42.4","7.6"
"4/6/2026","00:25:00","22.0","42.4","7.0"
"4/6/2026","00:30:00","22.0","42.5","7.2"
"4/6/2026","00:35:00","22.0","42.4","7.7"
"4/6/2026","00:40:00","22.0","42.3","6.7"
"4/6/2026","00:45:00","22.0","42.4","5.9"
"4/6/2026","00:50:00","22.0","42.3","6.7"
"4/6/2026","00:55:00","22.0","42.2","7.1"
"4/6/2026","01:00:00","22.0","42.3","7.1"
"4/6/2026","01:05:00","21.9","42.2","5.9"
"4/6/2026","01:10:00","21.9","42.3","6.6"
"4/6/2026","01:15:00","22.0","42.3","6.9"
"4/6/2026","01:20:00","22.0","42.3","7.3"
"4/6/2026","01:25:00","21.9","42.3","7.7"
"4/6/2026","01:30:00","22.0","42.3","6.8"
"4/6/2026","01:35:00","22.0","42.3","5.8"
"4/6/2026","01:40:00","21.9","42.4","6.8"
"4/6/2026","01:45:00","21.9","42.4","6.6"
"4/6/2026","01:50:00","21.9","42.3","7.1"
"4/6/2026","01:55:00","22.0","42.2","5.2"
"4/6/2026","02:00:00","21.9","42.2","7.6"
"4/6/2026","02:05:00","21.9","42.3","7.1"
"4/6/2026","02:10:00","21.9","42.2","7.2"
"4/6/2026","02:15:00","21.9","42.2","6.9"
"4/6/2026","02:20:00","21.9","42.3","7.0"
"4/6/2026","02:25:00","21.9","42.2","6.5"
"4/6/2026","02:30:00","21.9","42.1","7.8"
"4/6/2026","02:35:00","21.9","42.2","6.6"
"4/6/2026","02:40:00","21.9","42.2","7.4"
"4/6/2026","02:45:00","21.9","42.1","7.0"
"4/6/2026","02:50:00","21.9","42.1","7.0"
"4/6/2026","02:55:00","21.9","42.2","6.9"
"4/6/2026","03:00:00","21.9","42.2","7.1"
"4/6/2026","03:05:00","21.8","42.2","7.7"
"4/6/2026","03:10:00","21.9","42.1","5.5"
"4/6/2026","03:15:00","21.9","42.1","6.9"
"4/6/2026","03:20:00","21.9","42.2","7.8"
"4/6/2026","03:25:00","21.9","42.1","7.6"
"4/6/2026","03:30:00","21.8","42.1","6.3"
"4/6/2026","03:35:00","21.9","42.0","6.2"
"4/6/2026","03:40:00","21.8","42.1","7.6"
"4/6/2026","03:45:00","21.9","42.1","6.2"
"4/6/2026","03:50:00","21.9","42.0","7.6"
"4/6/2026","03:55:00","21.8","42.1","6.9"
"4/6/2026","04:00:00","21.8","42.1","6.7"
"4/6/2026","04:05:00","21.8","41.9","7.3"
"4/6/2026","04:10:00","21.8","41.9","7.5"
"4/6/2026","04:15:00","21.8","42.0","7.2"
"4/6/2026","04:20:00","21.8","42.0","7.0"
"4/6/2026","04:25:00","21.8","42.0","6.3"
"4/6/2026","04:30:00","21.8","42.0","6.2"
"4/6/2026","04:35:00","21.8","41.9","6.5"
"4/6/2026","04:40:00","21.8","42.0","7.5"
"4/6/2026","04:45:00","21.8","42.0","6.3"
"4/6/2026","04:50:00","21.7","42.0","7.9"
"4/6/2026","04:55:00","21.8","42.1","7.2"
"4/6/2026","05:00:00","21.8","42.0","8.5"
"4/6/2026","05:05:00","21.8","42.0","7.3"
"4/6/2026","05:10:00","21.8","41.9","6.9"
"4/6/2026","05:15:00","21.8","41.9","6.7"
"4/6/2026","05:20:00","21.8","41.9","7.6"
"4/6/2026","05:25:00","21.8","42.0","7.0"
"4/6/2026","05:30:00","21.7","42.0","6.6"
"4/6/2026","05:35:00","21.7","41.9","7.0"
"4/6/2026","05:40:00","21.7","41.8","7.7"
"4/6/2026","05:45:00","21.8","41.8","7.4"
"4/6/2026","05:50:00","21.7","41.9","6.3"
"4/6/2026","05:55:00","21.7","41.8","6.4"
"4/6/2026","06:00:00","21.8","41.9","7.6"
"4/6/2026","06:05:00","21.7","41.8","7.5"
"4/6/2026","06:10:00","21.7","41.8","6.3"
"4/6/2026","06:15:00","21.7","41.7","6.7"
"4/6/2026","06:20:00","21.7","41.9","7.1"
"4/6/2026","06:25:00","21.7","41.9","7.2"
"4/6/2026","06:30:00","21.7","41.9","5.8"
"4/6/2026","06:35:00","21.7","41.8","7.0"
"4/6/2026","06:40:00","21.7","41.8","8.5"
"4/6/2026","06:45:00","21.7","41.8","7.4"
"4/6/2026","06:50:00","21.7","41.9","7.0"
"4/6/2026","06:55:00","21.7","41.8","7.0"
"4/6/2026","07:00:00","21.7","41.9","6.5"
"4/6/2026","07:05:00","21.7","41.9","8.0"
"4/6/2026","07:10:00","21.7","41.8","7.0"
"4/6/2026","07:15:00","21.7","41.8","6.4"
"4/6/2026","07:20:00","21.7","41.8","7.1"
"4/6/2026","07:25:00","21.7","41.7","7.2"
"4/6/2026","07:30:00","21.7","41.7","7.1"
"4/6/2026","07:35:00","21.7","41.8","6.5"
"4/6/2026","07:40:00","21.7","41.8","6.6"
"4/6/2026","07:45:00","21.7","41.8","7.5"
"4/6/2026","07:50:00","21.7","41.8","6.2"
"4/6/2026","07:55:00","21.7","41.8","6.5"
"4/6/2026","08:00:00","21.7","41.7","7.4"
"4/6/2026","08:05:00","21.6","41.7","7.7"
"4/6/2026","08:10:00","21.7","41.8","8.7"
"4/6/2026","08:15:00","21.7","41.8","6.0"
"4/6/2026","08:20:00","21.7","41.8","5.5"
"4/6/2026","08:25:00","21.7","41.8","6.2"
"4/6/2026","08:30:00","21.7","41.9","5.2"
"4/6/2026","08:35:00","21.7","41.9","6.0"
"4/6/2026","08:40:00","21.7","42.0","3.5"
"4/6/2026","08:45:00","21.7","42.1","5.2"
"4/6/2026","08:50:00","21.7","42.0","5.0"
"4/6/2026","08:55:00","21.7","42.0","5.1"
"4/6/2026","09:00:00","21.7","42.1","6.4"
"4/6/2026","09:05:00","21.7","42.2","4.8"
"4/6/2026","09:10:00","21.8","42.2","2.9"
"4/6/2026","09:15:00","21.8","42.1","4.6"
"4/6/2026","09:20:00","21.9","42.1","5.7"
"4/6/2026","09:25:00","21.8","42.1","4.8"
"4/6/2026","09:30:00","21.9","42.0","3.4"
"4/6/2026","09:35:00","21.9","41.9","4.1"
"4/6/2026","09:40:00","21.9","41.9","4.8"
"4/6/2026","09:45:00","21.9","41.8","2.3"
"4/6/2026","09:50:00","21.9","41.8","5.5"
"4/6/2026","09:55:00","21.8","41.7","5.4"
"4/6/2026","10:00:00","21.9","41.7","2.3"
"4/6/2026","10:05:00","21.8","41.7","5.6"
"4/6/2026","10:10:00","21.9","41.6","5.1"
"4/6/2026","10:15:00","21.9","41.6","4.1"
"4/6/2026","10:20:00","21.9","41.7","6.0"
"4/6/2026","10:25:00","21.9","41.7","4.3"
"4/6/2026","10:30:00","21.9","41.7","4.3"
"4/6/2026","10:35:00","21.9","41.6","4.3"
"4/6/2026","10:40:00","21.8","41.6","4.0"
"4/6/2026","10:45:00","21.9","41.6","4.3"
"4/6/2026","10:50:00","21.9","41.6","6.5"
"4/6/2026","10:55:00","21.9","41.6","4.6"
"4/6/2026","11:00:00","21.9","41.6","5.0"
"4/6/2026","11:05:00","21.9","41.6","6.3"
"4/6/2026","11:10:00","21.9","41.6","5.4"
"4/6/2026","11:15:00","21.9","41.5","5.4"
"4/6/2026","11:20:00","21.9","41.4","8.3"
"4/6/2026","11:25:00","22.0","41.4","6.6"
"4/6/2026","11:30:00","22.0","41.4","7.1"
"4/6/2026","11:35:00","21.9","41.5","7.3"
"4/6/2026","11:40:00","22.0","41.4","6.4"
"4/6/2026","11:45:00","21.9","41.4","6.8"
"4/6/2026","11:50:00","22.0","41.3","6.3"
"4/6/2026","11:55:00","22.0","41.3","5.0"
"4/6/2026","12:00:00","21.9","41.4","3.7"
"4/6/2026","12:05:00","22.0","41.2","4.9"
"4/6/2026","12:10:00","22.0","41.1","5.2"
"4/6/2026","12:15:00","22.0","41.2","4.0"
"4/6/2026","12:20:00","22.0","41.2","6.7"
"4/6/2026","12:25:00","22.0","41.1","4.8"
"4/6/2026","12:30:00","22.0","41.1","5.1"
"4/6/2026","12:35:00","22.0","41.2","4.2"
"4/6/2026","12:40:00","22.0","41.2","6.4"
"4/6/2026","12:45:00","22.0","41.0","4.3"
"4/6/2026","12:50:00","22.0","41.1","5.9"
"4/6/2026","12:55:00","22.0","41.2","6.1"
"4/6/2026","13:00:00","22.0","41.0","3.5"
"4/6/2026","13:05:00","22.0","41.1","3.0"
"4/6/2026","13:10:00","22.0","41.1","5.5"
"4/6/2026","13:15:00","22.0","41.2","5.1"
"4/6/2026","13:20:00","22.0","41.2","6.1"
"4/6/2026","13:25:00","22.0","41.3","5.6"
"4/6/2026","13:30:00","22.0","41.4","6.7"
"4/6/2026","13:35:00","22.0","41.4","7.4"
"4/6/2026","13:40:00","22.0","41.3","5.5"
"4/6/2026","13:45:00","22.0","41.3","6.6"
"4/6/2026","13:50:00","22.0","41.4","6.0"
"4/6/2026","13:55:00","22.0","41.3","6.5"
"4/6/2026","14:00:00","22.0","41.3","6.6"
"4/6/2026","14:05:00","22.0","41.3","7.6"
"4/6/2026","14:10:00","22.0","41.4","5.7"
"4/6/2026","14:15:00","22.0","41.2","7.0"
"4/6/2026","14:20:00","22.0","41.3","8.0"
"4/6/2026","14:25:00","22.1","41.2","6.6"
"4/6/2026","14:30:00","22.0","41.4","6.3"
"4/6/2026","14:35:00","22.1","41.4","6.3"
"4/6/2026","14:40:00","22.1","41.2","6.6"
"4/6/2026","14:45:00","22.0","41.3","9.1"
"4/6/2026","14:50:00","22.0","41.3","5.7"
"4/6/2026","14:55:00","22.0","41.3","5.4"
"4/6/2026","15:00:00","22.0","41.3","6.0"
"4/6/2026","15:05:00","22.0","41.3","4.0"
"4/6/2026","15:10:00","22.0","41.5","6.8"
"4/6/2026","15:15:00","22.1","41.4","5.9"
"4/6/2026","15:20:00","22.1","41.4","6.2"
"4/6/2026","15:25:00","22.1","41.4","4.1"
"4/6/2026","15:30:00","22.1","41.5","3.8"
"4/6/2026","15:35:00","22.0","41.5","5.2"
"4/6/2026","15:40:00","22.0","41.3","2.6"
"4/6/2026","15:45:00","22.1","41.4","2.2"
"4/6/2026","15:50:00","22.0","41.4","2.2"
"4/6/2026","15:55:00","22.1","41.2","2.8"
"4/6/2026","16:00:00","22.1","41.2","1.9"
"4/6/2026","16:05:00","22.1","41.3","2.3"
"4/6/2026","16:10:00","22.1","41.2","1.7"
"4/6/2026","16:15:00","22.1","41.1","3.6"
"4/6/2026","16:20:00","22.1","41.2","5.7"
"4/6/2026","16:25:00","22.1","41.2","4.2"
