"Key            Name:Suffix                                Trend Definitions Used"
"Point_1:","2AAD1-25_2-P062 ROOM TEMP","","5 minutes"
"Point_2:","2AAD1-26_2-P062 ROOM HUM","","5 minutes"
"Point_3:","2AAD2-41_2-P091 ROOM PRES","","5 minutes"
"Time Interval:","5 Minutes"
"Date Range:","4/6/2026 00:00:00 - 4/6/2026 23:55:00"
"Report Timings:","All Hours"
""
"<>Date","Time","Point_1","Point_2","Point_3"
"4/6/2026","00:00:00","23.1","55.4","47.9"
"4/6/2026","00:05:00","23.1","55.2","48.0"
"4/6/2026","00:10:00","23.1","55.1","47.9"
"4/6/2026","00:15:00","23.2","55.0","48.0"
"4/6/2026","00:20:00","23.2","55.0","48.2"
"4/6/2026","00:25:00","23.2","55.0","48.0"
"4/6/2026","00:30:00","23.2","55.0","47.9"
"4/6/2026","00:35:00","23.2","55.0","48.2"
"4/6/2026","00:40:00","23.2","55.0","48.3"
"4/6/2026","00:45:00","23.2","55.0","48.1"
"4/6/2026","00:50:00","23.2","54.9","48.1"
"4/6/2026","00:55:00","23.3","54.9","48.2"
"4/6/2026","01:00:00","23.3","54.9","48.0"
"4/6/2026","01:05:00","23.3","54.9","47.7"
"4/6/2026","01:10:00","23.3","54.9","47.9"
"4/6/2026","01:15:00","23.3","55.0","48.0"
"4/6/2026","01:20:00","23.3","54.8","48.1"
"4/6/2026","01:25:00","23.3","54.8","48.1"
"4/6/2026","01:30:00","23.3","54.7","47.8"
"4/6/2026","01:35:00","23.3","54.7","48.1"
"4/6/2026","01:40:00","23.4","54.7","47.8"
"4/6/2026","01:45:00","23.4","54.7","48.1"
"4/6/2026","01:50:00","23.3","54.6","47.9"
"4/6/2026","01:55:00","23.3","54.6","48.0"
"4/6/2026","02:00:00","23.4","54.6","48.0"
"4/6/2026","02:05:00","23.4","54.6","48.4"
"4/6/2026","02:10:00","23.4","54.5","48.1"
"4/6/2026","02:15:00","23.4","54.4","48.2"
"4/6/2026","02:20:00","23.4","54.3","48.0"
"4/6/2026","02:25:00","23.4","54.3","48.4"
"4/6/2026","02:30:00","23.4","54.3","48.1"
"4/6/2026","02:35:00","23.4","54.3","48.2"
"4/6/2026","02:40:00","23.4","54.3","48.3"
"4/6/2026","02:45:00","23.5","54.3","48.2"
"4/6/2026","02:50:00","23.5","54.2","48.2"
"4/6/2026","02:55:00","23.5","54.1","48.2"
"4/6/2026","03:00:00","23.5","54.1","48.1"
"4/6/2026","03:05:00","23.5","54.0","48.0"
"4/6/2026","03:10:00","23.5","54.0","48.2"
"4/6/2026","03:15:00","23.5","53.9","48.3"
"4/6/2026","03:20:00","23.5","53.9","48.5"
"4/6/2026","03:25:00","23.5","54.0","48.5"
"4/6/2026","03:30:00","23.6","54.2","48.4"
"4/6/2026","03:35:00","23.5","54.1","48.4"
"4/6/2026","03:40:00","23.5","54.1","48.6"
"4/6/2026","03:45:00","23.5","54.1","48.6"
"4/6/2026","03:50:00","23.6","54.0","48.3"
"4/6/2026","03:55:00","23.5","54.1","48.6"
"4/6/2026","04:00:00","23.5","54.1","49.0"
"4/6/2026","04:05:00","23.6","54.0","48.5"
"4/6/2026","04:10:00","23.6","54.2","48.6"
"4/6/2026","04:15:00","23.6","54.3","48.9"
"4/6/2026","04:20:00","23.6","54.2","48.7"
"4/6/2026","04:25:00","23.6","54.1","48.2"
"4/6/2026","04:30:00","23.6","54.0","48.4"
"4/6/2026","04:35:00","23.6","53.9","48.5"
"4/6/2026","04:40:00","23.6","54.0","48.8"
"4/6/2026","04:45:00","23.6","54.0","48.5"
"4/6/2026","04:50:00","23.6","54.0","48.6"
"4/6/2026","04:55:00","23.6","54.0","48.3"
"4/6/2026","05:00:00","23.6","54.0","48.4"
"4/6/2026","05:05:00","23.6","53.8","48.2"
"4/6/2026","05:10:00","23.6","53.7","48.3"
"4/6/2026","05:15:00","23.7","53.7","48.6"
"4/6/2026","05:20:00","23.6","53.7","48.5"
"4/6/2026","05:25:00","23.6","53.7","48.7"
"4/6/2026","05:30:00","23.6","53.7","48.6"
"4/6/2026","05:35:00","23.6","53.8","48.5"
"4/6/2026","05:40:00","23.6","53.8","48.2"
"4/6/2026","05:45:00","23.6","53.9","48.4"
"4/6/2026","05:50:00","23.6","53.8","48.5"
"4/6/2026","05:55:00","23.6","53.7","48.5"
"4/6/2026","06:00:00","23.6","53.8","49.0"
"4/6/2026","06:05:00","23.7","53.8","48.5"
"4/6/2026","06:10:00","23.7","53.8","48.5"
"4/6/2026","06:15:00","23.6","53.7","48.4"
"4/6/2026","06:20:00","23.6","53.7","48.3"
"4/6/2026","06:25:00","23.7","53.9","48.8"
"4/6/2026","06:30:00","23.7","54.0","48.5"
"4/6/2026","06:35:00","23.7","53.9","48.8"
"4/6/2026","06:40:00","23.7","54.1","48.4"
"4/6/2026","06:45:00","23.7","54.2","48.4"
"4/6/2026","06:50:00","23.6","54.2","48.6"
"4/6/2026","06:55:00","23.6","54.3","48.7"
"4/6/2026","07:00:00","23.7","54.4","48.6"
"4/6/2026","07:05:00","23.7","54.6","48.5"
"4/6/2026","07:10:00","23.7","54.7","48.4"
"4/6/2026","07:15:00","23.7","54.6","48.9"
"4/6/2026","07:20:00","23.7","55.0","48.6"
"4/6/2026","07:25:00","23.7","55.0","47.9"
"4/6/2026","07:30:00","23.6","55.2","48.7"
"4/6/2026","07:35:00","23.7","54.8","15.0"
"4/6/2026","07:40:00","23.2","46.0","14.4"
"4/6/2026","07:45:00","22.3","45.4","14.6"
"4/6/2026","07:50:00","21.7","44.2","15.2"
"4/6/2026","07:55:00","21.1","43.6","14.0"
"4/6/2026","08:00:00","20.7","43.6","14.5"
"4/6/2026","08:05:00","20.3","43.8","14.1"
"4/6/2026","08:10:00","20.1","43.8","13.7"
"4/6/2026","08:15:00","19.8","44.2","31.2"
"4/6/2026","08:20:00","19.5","44.9","10.4"
"4/6/2026","08:25:00","19.3","45.3","12.2"
"4/6/2026","08:30:00","19.2","45.5","14.8"
"4/6/2026","08:35:00","19.1","45.8","11.1"
"4/6/2026","08:40:00","19.0","46.1","13.4"
"4/6/2026","08:45:00","18.8","46.4","13.5"
"4/6/2026","08:50:00","18.7","47.0","13.2"
"4/6/2026","08:55:00","18.7","47.1","12.2"
"4/6/2026","09:00:00","18.7","47.4","12.1"
"4/6/2026","09:05:00","18.5","48.0","12.3"
"4/6/2026","09:10:00","18.5","48.1","11.5"
"4/6/2026","09:15:00","18.5","47.8","12.6"
"4/6/2026","09:20:00","18.6","48.0","12.0"
"4/6/2026","09:25:00","18.7","47.3","11.4"
"4/6/2026","09:30:00","18.7","47.6","12.4"
"4/6/2026","09:35:00","18.8","47.1","11.8"
"4/6/2026","09:40:00","18.6","47.7","10.4"
"4/6/2026","09:45:00","18.4","47.9","12.6"
"4/6/2026","09:50:00","18.3","48.7","-2.3"
"4/6/2026","09:55:00","18.9","47.0","-2.3"
"4/6/2026","10:00:00","19.1","46.3","-2.3"
"4/6/2026","10:05:00","19.2","46.3","-2.3"
"4/6/2026","10:10:00","19.1","46.8","25.9"
"4/6/2026","10:15:00","19.2","46.2","6.4"
"4/6/2026","10:20:00","19.3","46.0","6.9"
"4/6/2026","10:25:00","19.3","46.2","7.1"
"4/6/2026","10:30:00","19.3","45.9","6.3"
"4/6/2026","10:35:00","19.1","46.0","7.2"
"4/6/2026","10:40:00","19.0","46.1","7.8"
"4/6/2026","10:45:00","19.0","46.0","4.5"
"4/6/2026","10:50:00","18.9","46.1","8.1"
"4/6/2026","10:55:00","18.9","46.2","8.5"
"4/6/2026","11:00:00","18.8","46.3","8.2"
"4/6/2026","11:05:00","18.8","46.5","8.8"
"4/6/2026","11:10:00","18.7","46.3","9.0"
"4/6/2026","11:15:00","18.6","46.6","7.8"
"4/6/2026","11:20:00","18.7","46.6","9.3"
"4/6/2026","11:25:00","18.6","46.7","8.8"
"4/6/2026","11:30:00","18.6","46.7","9.8"
"4/6/2026","11:35:00","18.6","46.7","9.1"
"4/6/2026","11:40:00","18.6","46.7","9.2"
"4/6/2026","11:45:00","18.6","46.7","8.4"
