"Key            Name:Suffix                                Trend Definitions Used"
"Point_1:","2AAD2-39_2-P091 ROOM TEMP","","5 minutes"
"Point_2:","2AAD2-40_2-P091 ROOM HUM","","5 minutes"
"Point_3:","2A074-27_2-P087 ROOM PRES","","5 minutes"
"Time Interval:","5 Minutes"
"Date Range:","4/6/2026 00:00:00 - 4/6/2026 23:55:00"
"Report Timings:","All Hours"
""
"<>Date","Time","Point_1","Point_2","Point_3"
"4/6/2026","00:00:00","21.9","51.1","14.6"
"4/6/2026","00:05:00","22.0","47.9","15.0"
"4/6/2026","00:10:00","22.1","51.3","13.6"
"4/6/2026","00:15:00","21.9","50.7","13.9"
"4/6/2026","00:20:00","21.8","45.9","15.7"
"4/6/2026","00:25:00","22.0","49.7","16.8"
"4/6/2026","00:30:00","22.1","52.2","14.4"
"4/6/2026","00:35:00","21.9","47.6","16.9"
"4/6/2026","00:40:00","21.7","48.8","14.9"
"4/6/2026","00:45:00","22.0","51.6","16.9"
"4/6/2026","00:50:00","22.2","50.1","12.5"
"4/6/2026","00:55:00","22.0","49.2","15.1"
"4/6/2026","01:00:00","21.8","51.3","14.5"
"4/6/2026","01:05:00","21.9","46.6","12.4"
"4/6/2026","01:10:00","22.1","49.7","14.9"
"4/6/2026","01:15:00","22.0","52.3","14.5"
"4/6/2026","01:20:00","21.7","46.7","13.4"
"4/6/2026","01:25:00","21.8","48.9","12.3"
"4/6/2026","01:30:00","22.1","51.1","15.7"
"4/6/2026","01:35:00","22.2","51.5","13.7"
"4/6/2026","01:40:00","21.8","47.0","14.4"
"4/6/2026","01:45:00","21.7","51.4","16.5"
"4/6/2026","01:50:00","22.0","48.7","15.4"
"4/6/2026","01:55:00","22.1","49.4","13.1"
"4/6/2026","02:00:00","21.9","52.5","15.3"
"4/6/2026","02:05:00","21.7","45.4","16.4"
"4/6/2026","02:10:00","21.9","48.5","16.4"
"4/6/2026","02:15:00","22.1","51.5","16.5"
"4/6/2026","02:20:00","22.0","50.5","13.7"
"4/6/2026","02:25:00","21.7","46.9","16.1"
"4/6/2026","02:30:00","21.8","50.3","15.9"
"4/6/2026","02:35:00","22.1","51.1","16.1"
"4/6/2026","02:40:00","22.1","48.2","16.1"
"4/6/2026","02:45:00","21.9","52.1","16.0"
"4/6/2026","02:50:00","21.9","46.8","17.4"
"4/6/2026","02:55:00","22.0","47.8","15.8"
"4/6/2026","03:00:00","22.0","52.2","16.3"
"4/6/2026","03:05:00","21.7","47.6","15.3"
"4/6/2026","03:10:00","21.9","46.6","15.0"
"4/6/2026","03:15:00","22.1","50.0","12.6"
"4/6/2026","03:20:00","22.1","52.1","14.7"
"4/6/2026","03:25:00","21.7","46.3","15.3"
"4/6/2026","03:30:00","21.7","49.6","16.2"
"4/6/2026","03:35:00","22.0","51.6","14.2"
"4/6/2026","03:40:00","22.2","50.4","18.2"
"4/6/2026","03:45:00","22.0","48.1","13.8"
"4/6/2026","03:50:00","21.7","51.6","14.3"
"4/6/2026","03:55:00","21.9","47.4","15.8"
"4/6/2026","04:00:00","22.1","50.7","14.6"
"4/6/2026","04:05:00","21.9","50.7","13.5"
"4/6/2026","04:10:00","21.8","45.9","16.3"
"4/6/2026","04:15:00","22.0","49.2","15.8"
"4/6/2026","04:20:00","22.1","52.2","14.7"
"4/6/2026","04:25:00","21.9","48.2","16.2"
"4/6/2026","04:30:00","21.7","47.6","15.5"
"4/6/2026","04:35:00","21.9","51.4","14.0"
"4/6/2026","04:40:00","22.2","51.0","13.3"
"4/6/2026","04:45:00","22.0","48.6","15.7"
"4/6/2026","04:50:00","21.7","50.3","14.5"
"4/6/2026","04:55:00","21.9","49.5","12.1"
"4/6/2026","05:00:00","22.1","49.7","14.9"
"4/6/2026","05:05:00","22.0","52.5","12.9"
"4/6/2026","05:10:00","21.7","46.2","14.5"
"4/6/2026","05:15:00","21.8","48.5","14.1"
"4/6/2026","05:20:00","22.1","51.2","12.8"
"4/6/2026","05:25:00","22.1","51.2","15.2"
"4/6/2026","05:30:00","21.9","46.8","17.3"
"4/6/2026","05:35:00","21.8","51.2","16.7"
"4/6/2026","05:40:00","22.0","50.3","15.1"
"4/6/2026","05:45:00","22.1","47.9","14.8"
"4/6/2026","05:50:00","22.0","52.4","13.5"
"4/6/2026","05:55:00","21.8","47.1","12.3"
"4/6/2026","06:00:00","21.9","47.8","13.7"
"4/6/2026","06:05:00","22.1","49.9","15.5"
"4/6/2026","06:10:00","22.0","51.0","15.2"
"4/6/2026","06:15:00","21.7","46.2","14.4"
"4/6/2026","06:20:00","21.7","49.6","13.4"
"4/6/2026","06:25:00","22.1","51.5","15.3"
"4/6/2026","06:30:00","22.1","49.9","14.2"
"4/6/2026","06:35:00","21.9","48.7","14.9"
"4/6/2026","06:40:00","21.8","50.9","16.0"
"4/6/2026","06:45:00","22.0","47.9","13.0"
"4/6/2026","06:50:00","22.1","50.8","15.0"
"4/6/2026","06:55:00","22.0","51.5","15.2"
"4/6/2026","07:00:00","21.7","45.8","13.4"
"4/6/2026","07:05:00","21.9","50.0","14.6"
"4/6/2026","07:10:00","22.2","51.5","12.8"
"4/6/2026","07:15:00","22.1","49.7","14.6"
"4/6/2026","07:20:00","21.8","47.7","17.0"
"4/6/2026","07:25:00","21.8","51.4","14.5"
"4/6/2026","07:30:00","22.1","48.5","16.1"
"4/6/2026","07:35:00","22.1","50.4","14.9"
"4/6/2026","07:40:00","21.9","52.4","14.6"
"4/6/2026","07:45:00","21.9","46.5","13.1"
"4/6/2026","07:50:00","22.1","50.1","13.8"
"4/6/2026","07:55:00","22.1","52.9","15.1"
"4/6/2026","08:00:00","21.8","47.4","15.6"
"4/6/2026","08:05:00","21.7","50.1","12.6"
"4/6/2026","08:10:00","22.0","52.2","15.2"
"4/6/2026","08:15:00","22.2","46.7","17.4"
"4/6/2026","08:20:00","21.9","52.6","14.4"
"4/6/2026","08:25:00","21.9","49.2","13.9"
"4/6/2026","08:30:00","22.1","46.8","17.5"
"4/6/2026","08:35:00","21.9","53.7","10.3"
"4/6/2026","08:40:00","21.8","48.5","16.0"
"4/6/2026","08:45:00","22.0","48.7","14.2"
"4/6/2026","08:50:00","21.9","54.2","16.2"
"4/6/2026","08:55:00","21.7","48.5","15.1"
"4/6/2026","09:00:00","21.7","48.0","15.5"
"4/6/2026","09:05:00","22.2","53.2","17.0"
"4/6/2026","09:10:00","22.5","46.7","14.7"
"4/6/2026","09:15:00","22.0","50.4","14.7"
"4/6/2026","09:20:00","21.7","49.6","14.4"
"4/6/2026","09:25:00","21.9","46.5","16.4"
"4/6/2026","09:30:00","22.1","52.6","15.3"
"4/6/2026","09:35:00","22.0","49.9","15.9"
"4/6/2026","09:40:00","21.7","47.6","20.3"
"4/6/2026","09:45:00","21.7","49.5","15.5"
"4/6/2026","09:50:00","22.1","52.5","13.9"
"4/6/2026","09:55:00","22.0","47.8","13.5"
"4/6/2026","10:00:00","21.8","53.0","13.9"
"4/6/2026","10:05:00","21.8","47.2","15.2"
"4/6/2026","10:10:00","22.0","50.4","14.9"
"4/6/2026","10:15:00","21.9","53.5","13.0"
"4/6/2026","10:20:00","21.7","47.8","15.3"
"4/6/2026","10:25:00","21.7","48.4","15.7"
"4/6/2026","10:30:00","22.1","52.8","15.7"
"4/6/2026","10:35:00","22.1","48.3","16.4"
"4/6/2026","10:40:00","21.8","50.5","12.3"
"4/6/2026","10:45:00","21.7","49.2","14.2"
"4/6/2026","10:50:00","22.0","48.5","15.3"
"4/6/2026","10:55:00","22.0","54.5","14.1"
"4/6/2026","11:00:00","22.0","48.7","13.3"
"4/6/2026","11:05:00","21.7","49.0","18.5"
"4/6/2026","11:10:00","21.9","50.5","14.8"
"4/6/2026","11:15:00","22.1","51.9","13.6"
"4/6/2026","11:20:00","22.0","48.0","27.8"
"4/6/2026","11:25:00","21.8","50.5","14.5"
"4/6/2026","11:30:00","21.9","48.6","14.3"
"4/6/2026","11:35:00","22.0","52.6","14.7"
"4/6/2026","11:40:00","21.9","50.5","14.9"
"4/6/2026","11:45:00","21.7","47.9","13.8"
"4/6/2026","11:50:00","21.8","50.2","17.1"
"4/6/2026","11:55:00","22.1","52.2","13.1"
"4/6/2026","12:00:00","22.0","47.9","16.3"
"4/6/2026","12:05:00","21.7","52.6","13.6"
"4/6/2026","12:10:00","21.7","47.8","13.3"
"4/6/2026","12:15:00","22.0","49.4","15.6"
"4/6/2026","12:20:00","22.0","54.4","16.2"
"4/6/2026","12:25:00","21.8","48.2","15.7"
"4/6/2026","12:30:00","21.7","48.6","16.5"
"4/6/2026","12:35:00","22.0","52.9","17.6"
"4/6/2026","12:40:00","22.1","49.5","15.6"
"4/6/2026","12:45:00","21.9","50.1","14.8"
"4/6/2026","12:50:00","21.7","50.7","13.5"
"4/6/2026","12:55:00","21.9","46.9","15.6"
"4/6/2026","13:00:00","22.0","51.8","14.6"
"4/6/2026","13:05:00","21.9","50.6","14.5"
"4/6/2026","13:10:00","21.6","47.5","14.9"
"4/6/2026","13:15:00","21.9","51.1","14.9"
"4/6/2026","13:20:00","22.2","52.2","15.6"
"4/6/2026","13:25:00","22.0","47.8","14.3"
"4/6/2026","13:30:00","21.6","52.1","14.0"
"4/6/2026","13:35:00","21.8","48.5","13.9"
"4/6/2026","13:40:00","22.0","48.5","13.9"
"4/6/2026","13:45:00","22.1","53.3","16.8"
"4/6/2026","13:50:00","21.9","47.5","15.9"
"4/6/2026","13:55:00","21.8","49.4","15.2"
"4/6/2026","14:00:00","22.2","50.6","15.8"
"4/6/2026","14:05:00","22.2","49.9","14.6"
"4/6/2026","14:10:00","22.1","49.0","14.5"
"4/6/2026","14:15:00","21.9","48.9","15.3"
"4/6/2026","14:20:00","22.1","50.2","13.5"
"4/6/2026","14:25:00","22.1","51.2","15.9"
"4/6/2026","14:30:00","21.8","48.1","17.3"
"4/6/2026","14:35:00","21.8","49.3","14.8"
"4/6/2026","14:40:00","22.1","52.5","13.5"
"4/6/2026","14:45:00","22.1","47.9","14.7"
"4/6/2026","14:50:00","21.7","50.6","13.9"
"4/6/2026","14:55:00","22.0","49.8","15.1"
"4/6/2026","15:00:00","22.1","50.4","14.9"
"4/6/2026","15:05:00","22.0","52.6","13.6"
"4/6/2026","15:10:00","21.7","47.3","14.7"
"4/6/2026","15:15:00","21.8","49.6","13.6"
"4/6/2026","15:20:00","22.3","53.2","17.1"
"4/6/2026","15:25:00","22.1","47.7","12.8"
"4/6/2026","15:30:00","21.8","50.4","15.6"
"4/6/2026","15:35:00","21.8","50.2","13.1"
"4/6/2026","15:40:00","22.0","48.0","14.8"
"4/6/2026","15:45:00","22.0","54.1","16.2"
"4/6/2026","15:50:00","21.8","48.7","12.5"
"4/6/2026","15:55:00","21.7","48.5","16.4"
"4/6/2026","16:00:00","22.0","53.0","16.9"
"4/6/2026","16:05:00","22.1","49.0","16.0"
"4/6/2026","16:10:00","21.9","49.2","16.4"
"4/6/2026","16:15:00","21.7","52.2","15.0"
"4/6/2026","16:20:00","22.0","46.9","16.1"
"4/6/2026","16:25:00","22.0","52.6","13.3"
"4/6/2026","16:30:00","21.9","50.6","13.1"
"4/6/2026","16:35:00","21.7","47.3","15.1"
"4/6/2026","16:40:00","21.9","51.4","21.7"
"4/6/2026","16:45:00","22.2","51.4","15.2"
"4/6/2026","16:50:00","22.0","47.4","14.2"
"4/6/2026","16:55:00","21.7","52.4","14.0"
"4/6/2026","17:00:00","21.8","48.3","15.1"
"4/6/2026","17:05:00","22.0","49.4","16.3"
"4/6/2026","17:10:00","21.9","53.4","15.3"
"4/6/2026","17:15:00","21.7","48.1","14.9"
"4/6/2026","17:20:00","21.8","48.9","15.3"
"4/6/2026","17:25:00","22.1","52.8","14.0"
"4/6/2026","17:30:00","22.1","48.2","15.0"
"4/6/2026","17:35:00","21.9","50.4","14.1"
"4/6/2026","17:40:00","21.9","49.7","20.7"
"4/6/2026","17:45:00","22.1","47.5","15.7"
