"Key            Name:Suffix                                Trend Definitions Used"
"Point_1:","2A083-25_2-P092 ROOM TEMP","","5 minutes"
"Point_2:","2A083-26_2-P092 ROOM HUM","","5 minutes"
"Point_3:","2A084-41_2-L020 ROOM PRES","","5 minutes"
"Time Interval:","5 Minutes"
"Date Range:","4/6/2026 00:00:00 - 4/6/2026 23:55:00"
"Report Timings:","All Hours"
""
"<>Date","Time","Point_1","Point_2","Point_3"
"4/6/2026","00:00:00","21.3","56.8","26.7"
"4/6/2026","00:05:00","21.3","56.9","27.0"
"4/6/2026","00:10:00","21.3","56.2","26.7"
"4/6/2026","00:15:00","21.3","56.5","26.8"
"4/6/2026","00:20:00","21.3","56.2","26.8"
"4/6/2026","00:25:00","21.3","56.2","26.5"
"4/6/2026","00:30:00","21.3","56.3","26.8"
"4/6/2026","00:35:00","21.3","56.4","26.8"
"4/6/2026","00:40:00","21.4","56.2","26.8"
"4/6/2026","00:45:00","21.3","56.2","26.6"
"4/6/2026","00:50:00","21.3","56.2","26.9"
"4/6/2026","00:55:00","21.3","56.3","26.8"
"4/6/2026","01:00:00","21.3","55.8","26.6"
"4/6/2026","01:05:00","21.3","55.7","26.5"
"4/6/2026","01:10:00","21.4","56.3","27.0"
"4/6/2026","01:15:00","21.3","56.1","26.9"
"4/6/2026","01:20:00","21.4","56.1","26.8"
"4/6/2026","01:25:00","21.3","56.0","27.0"
"4/6/2026","01:30:00","21.3","56.1","26.8"
"4/6/2026","01:35:00","21.3","56.0","26.8"
"4/6/2026","01:40:00","21.3","56.2","26.5"
"4/6/2026","01:45:00","21.3","56.0","26.7"
"4/6/2026","01:50:00","21.4","55.9","26.8"
"4/6/2026","01:55:00","21.3","55.9","26.8"
"4/6/2026","02:00:00","21.3","56.0","26.7"
"4/6/2026","02:05:00","21.4","55.7","26.8"
"4/6/2026","02:10:00","21.3","55.9","26.7"
"4/6/2026","02:15:00","21.4","55.6","26.6"
"4/6/2026","02:20:00","21.3","55.6","26.8"
"4/6/2026","02:25:00","21.3","55.5","26.8"
"4/6/2026","02:30:00","21.3","55.5","26.6"
"4/6/2026","02:35:00","21.3","55.8","26.7"
"4/6/2026","02:40:00","21.3","56.1","26.6"
"4/6/2026","02:45:00","21.3","55.8","26.7"
"4/6/2026","02:50:00","21.3","55.9","26.7"
"4/6/2026","02:55:00","21.3","56.0","26.9"
"4/6/2026","03:00:00","21.3","56.0","26.7"
"4/6/2026","03:05:00","21.3","56.0","26.7"
"4/6/2026","03:10:00","21.3","55.9","26.8"
"4/6/2026","03:15:00","21.2","55.9","26.8"
"4/6/2026","03:20:00","21.3","56.0","27.0"
"4/6/2026","03:25:00","21.3","56.2","26.8"
"4/6/2026","03:30:00","21.3","56.1","26.7"
"4/6/2026","03:35:00","21.2","56.2","26.7"
"4/6/2026","03:40:00","21.2","56.3","27.1"
"4/6/2026","03:45:00","21.3","56.2","26.9"
"4/6/2026","03:50:00","21.2","55.8","26.8"
"4/6/2026","03:55:00","21.3","56.2","26.7"
"4/6/2026","04:00:00","21.2","56.4","26.7"
"4/6/2026","04:05:00","21.2","56.1","26.8"
"4/6/2026","04:10:00","21.2","56.6","27.0"
"4/6/2026","04:15:00","21.2","56.5","26.7"
"4/6/2026","04:20:00","21.2","56.9","26.6"
"4/6/2026","04:25:00","21.2","56.5","26.8"
"4/6/2026","04:30:00","21.2","56.2","26.8"
"4/6/2026","04:35:00","21.2","56.0","26.9"
"4/6/2026","04:40:00","21.2","56.2","26.9"
"4/6/2026","04:45:00","21.2","56.5","26.8"
"4/6/2026","04:50:00","21.2","56.3","26.5"
"4/6/2026","04:55:00","21.2","56.4","26.8"
"4/6/2026","05:00:00","21.2","56.4","26.7"
"4/6/2026","05:05:00","21.2","56.2","26.8"
"4/6/2026","05:10:00","21.2","56.1","26.8"
"4/6/2026","05:15:00","21.2","56.0","27.0"
"4/6/2026","05:20:00","21.2","55.9","26.9"
"4/6/2026","05:25:00","21.2","56.3","26.7"
"4/6/2026","05:30:00","21.2","56.2","26.9"
"4/6/2026","05:35:00","21.2","56.1","26.8"
"4/6/2026","05:40:00","21.2","56.4","26.9"
"4/6/2026","05:45:00","21.2","56.1","26.8"
"4/6/2026","05:50:00","21.2","56.2","26.9"
"4/6/2026","05:55:00","21.2","56.1","26.9"
"4/6/2026","06:00:00","21.2","56.3","26.8"
"4/6/2026","06:05:00","21.2","56.5","26.8"
"4/6/2026","06:10:00","21.2","56.0","26.9"
"4/6/2026","06:15:00","21.2","56.2","26.8"
"4/6/2026","06:20:00","21.2","56.2","26.8"
"4/6/2026","06:25:00","21.2","56.2","27.0"
"4/6/2026","06:30:00","21.2","56.6","26.9"
"4/6/2026","06:35:00","21.2","56.4","26.8"
"4/6/2026","06:40:00","21.2","56.2","26.8"
"4/6/2026","06:45:00","21.2","56.6","26.9"
"4/6/2026","06:50:00","21.2","56.7","26.8"
"4/6/2026","06:55:00","21.2","56.6","26.8"
"4/6/2026","07:00:00","21.2","56.4","26.9"
"4/6/2026","07:05:00","21.2","56.6","26.9"
"4/6/2026","07:10:00","21.2","56.4","26.7"
"4/6/2026","07:15:00","21.2","56.5","26.7"
"4/6/2026","07:20:00","21.2","56.5","26.8"
"4/6/2026","07:25:00","21.2","56.7","25.1"
"4/6/2026","07:30:00","21.2","57.1","26.6"
"4/6/2026","07:35:00","21.3","56.1","27.9"
"4/6/2026","07:40:00","21.2","57.1","26.6"
"4/6/2026","07:45:00","21.3","56.9","27.5"
"4/6/2026","07:50:00","21.3","57.1","27.7"
"4/6/2026","07:55:00","21.4","56.6","25.7"
"4/6/2026","08:00:00","21.4","56.4","27.5"
"4/6/2026","08:05:00","21.4","56.3","27.3"
"4/6/2026","08:10:00","21.5","55.9","27.3"
"4/6/2026","08:15:00","21.5","55.8","25.8"
"4/6/2026","08:20:00","21.6","56.3","21.8"
"4/6/2026","08:25:00","21.7","55.2","24.1"
"4/6/2026","08:30:00","21.7","55.2","25.4"
"4/6/2026","08:35:00","21.8","56.0","23.6"
"4/6/2026","08:40:00","21.8","55.4","27.9"
"4/6/2026","08:45:00","21.9","56.1","29.5"
"4/6/2026","08:50:00","21.9","55.9","29.0"
"4/6/2026","08:55:00","21.9","56.1","28.0"
"4/6/2026","09:00:00","21.9","56.8","23.7"
"4/6/2026","09:05:00","22.0","56.4","28.0"
"4/6/2026","09:10:00","22.0","56.2","26.3"
"4/6/2026","09:15:00","22.0","55.8","26.9"
"4/6/2026","09:20:00","22.0","55.4","25.2"
"4/6/2026","09:25:00","22.1","55.7","24.7"
"4/6/2026","09:30:00","22.1","55.2","28.8"
"4/6/2026","09:35:00","22.1","54.8","25.5"
"4/6/2026","09:40:00","22.2","55.5","24.0"
"4/6/2026","09:45:00","22.1","54.9","28.8"
"4/6/2026","09:50:00","22.2","55.1","24.4"
"4/6/2026","09:55:00","22.2","54.9","27.7"
"4/6/2026","10:00:00","22.2","54.8","27.0"
"4/6/2026","10:05:00","22.2","54.6","27.0"
"4/6/2026","10:10:00","22.1","54.6","24.9"
"4/6/2026","10:15:00","22.1","54.6","25.1"
"4/6/2026","10:20:00","22.1","54.8","22.4"
"4/6/2026","10:25:00","22.1","54.7","26.1"
"4/6/2026","10:30:00","22.1","55.2","25.9"
"4/6/2026","10:35:00","22.1","54.9","24.5"
"4/6/2026","10:40:00","22.1","54.8","26.2"
"4/6/2026","10:45:00","22.1","55.0","23.7"
"4/6/2026","10:50:00","22.1","55.6","26.0"
"4/6/2026","10:55:00","22.2","54.7","27.8"
"4/6/2026","11:00:00","22.1","54.9","23.7"
"4/6/2026","11:05:00","22.0","54.8","26.9"
"4/6/2026","11:10:00","22.0","54.8","28.1"
"4/6/2026","11:15:00","22.0","54.7","26.2"
"4/6/2026","11:20:00","22.0","54.7","27.3"
"4/6/2026","11:25:00","22.0","54.7","28.7"
"4/6/2026","11:30:00","22.0","54.7","27.8"
"4/6/2026","11:35:00","22.0","54.2","28.2"
"4/6/2026","11:40:00","22.0","54.3","28.0"
"4/6/2026","11:45:00","22.0","54.2","27.9"
"4/6/2026","11:50:00","22.0","54.1","27.9"
"4/6/2026","11:55:00","22.0","53.8","27.8"
"4/6/2026","12:00:00","22.0","53.6","28.0"
"4/6/2026","12:05:00","22.0","53.3","28.1"
"4/6/2026","12:10:00","22.0","53.3","28.0"
"4/6/2026","12:15:00","22.0","53.3","28.0"
"4/6/2026","12:20:00","22.0","53.1","27.4"
"4/6/2026","12:25:00","22.0","53.2","28.3"
"4/6/2026","12:30:00","22.0","52.9","27.7"
"4/6/2026","12:35:00","22.0","53.0","27.7"
"4/6/2026","12:40:00","22.0","52.9","27.9"
"4/6/2026","12:45:00","22.0","52.7","27.9"
"4/6/2026","12:50:00","22.0","52.8","27.7"
"4/6/2026","12:55:00","22.0","52.6","27.5"
"4/6/2026","13:00:00","22.0","52.7","26.5"
"4/6/2026","13:05:00","22.0","52.5","27.9"
"4/6/2026","13:10:00","22.1","55.1","26.7"
"4/6/2026","13:15:00","22.2","51.5","26.1"
"4/6/2026","13:20:00","22.2","51.5","26.3"
"4/6/2026","13:25:00","22.2","51.9","28.3"
"4/6/2026","13:30:00","22.1","52.1","28.7"
"4/6/2026","13:35:00","22.1","52.9","26.8"
"4/6/2026","13:40:00","22.1","52.2","26.9"
"4/6/2026","13:45:00","22.1","53.2","28.3"
"4/6/2026","13:50:00","22.1","52.6","25.8"
"4/6/2026","13:55:00","22.0","52.6","27.5"
"4/6/2026","14:00:00","22.0","52.1","25.2"
"4/6/2026","14:05:00","22.1","52.5","28.3"
"4/6/2026","14:10:00","22.0","52.6","24.6"
"4/6/2026","14:15:00","22.0","52.4","28.1"
"4/6/2026","14:20:00","22.1","52.5","24.9"
"4/6/2026","14:25:00","22.1","52.1","25.6"
"4/6/2026","14:30:00","22.0","52.1","28.2"
"4/6/2026","14:35:00","22.1","52.1","27.5"
"4/6/2026","14:40:00","22.1","52.1","29.0"
"4/6/2026","14:45:00","22.0","52.2","24.4"
"4/6/2026","14:50:00","22.0","52.2","21.4"
"4/6/2026","14:55:00","22.0","52.4","28.6"
"4/6/2026","15:00:00","22.1","52.3","27.2"
"4/6/2026","15:05:00","22.1","52.2","28.0"
"4/6/2026","15:10:00","22.0","52.4","28.0"
"4/6/2026","15:15:00","22.1","52.1","27.7"
"4/6/2026","15:20:00","22.1","52.1","27.4"
"4/6/2026","15:25:00","22.1","52.1","27.4"
"4/6/2026","15:30:00","22.1","52.0","26.1"
"4/6/2026","15:35:00","22.1","52.0","27.5"
"4/6/2026","15:40:00","22.1","52.2","27.6"
"4/6/2026","15:45:00","22.1","52.3","27.8"
"4/6/2026","15:50:00","22.1","52.4","27.6"
"4/6/2026","15:55:00","22.0","52.6","27.8"
"4/6/2026","16:00:00","22.0","52.9","27.8"
"4/6/2026","16:05:00","22.0","53.1","27.9"
"4/6/2026","16:10:00","22.0","53.2","27.5"
"4/6/2026","16:15:00","22.1","53.0","28.0"
"4/6/2026","16:20:00","22.1","53.0","28.1"
"4/6/2026","16:25:00","22.1","52.8","27.5"
"4/6/2026","16:30:00","22.1","52.9","28.6"
"4/6/2026","16:35:00","22.2","52.6","24.8"
"4/6/2026","16:40:00","22.2","53.9","26.1"
"4/6/2026","16:45:00","22.3","52.7","24.9"
"4/6/2026","16:50:00","22.3","52.4","27.5"
"4/6/2026","16:55:00","22.3","52.7","26.9"
"4/6/2026","17:00:00","22.3","52.7","24.4"
"4/6/2026","17:05:00","22.4","52.6","27.4"
"4/6/2026","17:10:00","22.4","52.6","26.2"
"4/6/2026","17:15:00","22.3","52.5","23.9"
"4/6/2026","17:20:00","22.3","51.9","29.0"
"4/6/2026","17:25:00","22.3","51.7","28.0"
"4/6/2026","17:30:00","22.4","51.3","27.9"
"4/6/2026","17:35:00","22.4","51.3","26.1"
"4/6/2026","17:40:00","22.3","50.6","24.6"
"4/6/2026","17:45:00","22.3","50.5","28.0"
"4/6/2026","17:50:00","22.3","50.4","27.6"
"4/6/2026","17:55:00","22.3","50.6","27.0"
"4/6/2026","18:00:00","22.4","50.0","26.2"
"4/6/2026","18:05:00","22.3","50.1","28.2"
"4/6/2026","18:10:00","22.3","50.3","27.8"
"4/6/2026","18:15:00","22.3","50.5","24.7"
"4/6/2026","18:20:00","22.3","50.3","27.8"
"4/6/2026","18:25:00","22.3","50.6","28.4"
"4/6/2026","18:30:00","22.3","50.7","28.0"
"4/6/2026","18:35:00","22.3","50.4","28.3"
"4/6/2026","18:40:00","22.3","50.3","28.4"
"4/6/2026","18:45:00","22.2","50.5","25.5"
"4/6/2026","18:50:00","22.2","50.4","28.4"
"4/6/2026","18:55:00","22.2","50.6","26.5"
"4/6/2026","19:00:00","22.2","50.3","27.7"
"4/6/2026","19:05:00","22.2","50.1","28.3"
"4/6/2026","19:10:00","22.2","50.1","25.7"
"4/6/2026","19:15:00","22.2","50.1","25.3"
"4/6/2026","19:20:00","22.2","50.1","22.6"
"4/6/2026","19:25:00","22.2","50.2","28.0"
"4/6/2026","19:30:00","22.2","50.0","28.2"
"4/6/2026","19:35:00","22.1","50.4","29.4"
"4/6/2026","19:40:00","22.1","50.0","27.6"
"4/6/2026","19:45:00","22.0","50.3","28.5"
"4/6/2026","19:50:00","22.1","50.6","29.0"
"4/6/2026","19:55:00","22.1","51.2","29.3"
"4/6/2026","20:00:00","22.0","51.6","29.2"
"4/6/2026","20:05:00","22.0","51.5","29.1"
"4/6/2026","20:10:00","21.9","51.5","28.9"
"4/6/2026","20:15:00","21.8","51.6","29.2"
"4/6/2026","20:20:00","21.8","51.6","29.1"
"4/6/2026","20:25:00","21.7","51.6","28.9"
"4/6/2026","20:30:00","21.7","51.5","29.0"
"4/6/2026","20:35:00","21.7","51.4","28.9"
"4/6/2026","20:40:00","21.7","51.4","28.9"
"4/6/2026","20:45:00","21.7","51.5","28.9"
"4/6/2026","20:50:00","21.7","51.6","28.8"
"4/6/2026","20:55:00","21.7","51.6","28.8"
"4/6/2026","21:00:00","21.7","51.8","28.5"
"4/6/2026","21:05:00","21.7","51.7","28.9"
"4/6/2026","21:10:00","21.7","52.0","28.6"
"4/6/2026","21:15:00","21.7","51.9","28.5"
"4/6/2026","21:20:00","21.7","52.1","29.0"
"4/6/2026","21:25:00","21.7","52.0","28.6"
"4/6/2026","21:30:00","21.7","52.0","28.5"
"4/6/2026","21:35:00","21.7","52.0","28.6"
"4/6/2026","21:40:00","21.7","52.1","28.6"
"4/6/2026","21:45:00","21.7","52.3","28.7"
"4/6/2026","21:50:00","21.6","52.4","28.7"
"4/6/2026","21:55:00","21.7","52.6","28.7"
"4/6/2026","22:00:00","21.7","52.8","28.6"
"4/6/2026","22:05:00","21.7","52.8","28.9"
"4/6/2026","22:10:00","21.7","52.9","28.9"
"4/6/2026","22:15:00","21.7","52.9","28.8"
"4/6/2026","22:20:00","21.7","52.8","28.7"
"4/6/2026","22:25:00","21.7","52.7","28.7"
"4/6/2026","22:30:00","21.7","52.6","28.9"
"4/6/2026","22:35:00","21.7","52.9","28.8"
"4/6/2026","22:40:00","21.7","52.5","28.6"
"4/6/2026","22:45:00","21.7","52.7","28.8"
"4/6/2026","22:50:00","21.7","52.7","28.6"
"4/6/2026","22:55:00","21.7","52.6","28.4"
"4/6/2026","23:00:00","21.7","52.6","28.3"
"4/6/2026","23:05:00","21.7","52.6","28.5"
"4/6/2026","23:10:00","21.7","52.4","28.7"
"4/6/2026","23:15:00","21.7","52.3","28.5"
"4/6/2026","23:20:00","21.7","52.8","28.5"
"4/6/2026","23:25:00","21.7","52.5","28.6"
"4/6/2026","23:30:00","21.7","52.5","28.3"
"4/6/2026","23:35:00","21.7","52.5","28.4"
"4/6/2026","23:40:00","21.7","52.4","28.4"
"4/6/2026","23:45:00","21.7","52.4","28.4"
"4/6/2026","23:50:00","21.7","52.2","28.7"
"4/6/2026","23:55:00","21.7","52.1","28.8"
 " ******************************** End of Report *********************************"
