"Key            Name:Suffix                                Trend Definitions Used"
"Point_1:","2AHU-105.2S028.RMT","","5 minutes"
"Point_2:","2AHU-105.2S028.RMH","","5 minutes"
"Point_3:","2AHU-105.2S028.RPT","","5 minutes"
"Time Interval:","5 Minutes"
"Date Range:","4/28/2026 14:06:03 - 4/29/2026 12:06:03"
"Report Timings:","All Hours"
""
"<>Date","Time","Point_1","Point_2","Point_3"
"4/28/2026","14:06:03","20.8","54.3","30.3"
"4/28/2026","14:11:03","20.9","54.5","29.8"
"4/28/2026","14:16:03","20.9","54.3","29.3"
"4/28/2026","14:21:03","20.9","54.5","30.3"
"4/28/2026","14:26:03","20.9","54.5","29.1"
"4/28/2026","14:31:03","20.9","54.1","30.0"
"4/28/2026","14:36:03","20.9","54.0","30.4"
"4/28/2026","14:41:03","20.9","54.2","30.3"
"4/28/2026","14:46:03","20.9","54.3","30.7"
"4/28/2026","14:51:03","20.9","54.4","29.9"
"4/28/2026","14:56:03","20.9","54.1","30.0"
"4/28/2026","15:01:03","20.9","54.1","29.8"
"4/28/2026","15:06:03","20.9","54.5","30.7"
"4/28/2026","15:11:03","20.9","54.7","29.5"
"4/28/2026","15:16:03","20.9","54.3","29.8"
"4/28/2026","15:21:03","20.9","54.2","30.8"
"4/28/2026","15:26:03","20.9","54.3","30.3"
"4/28/2026","15:31:03","20.9","54.6","30.4"
"4/28/2026","15:36:03","20.8","54.8","30.6"
"4/28/2026","15:41:03","20.8","54.9","29.9"
"4/28/2026","15:46:03","20.9","54.9","30.3"
"4/28/2026","15:51:03","20.9","54.3","30.1"
"4/28/2026","15:56:03","20.9","54.2","30.1"
"4/28/2026","16:01:03","20.9","54.4","29.6"
"4/28/2026","16:06:03","20.9","54.4","30.0"
"4/28/2026","16:11:03","20.9","54.5","30.4"
"4/28/2026","16:16:03","20.9","54.4","30.3"
"4/28/2026","16:21:03","20.9","54.4","30.0"
"4/28/2026","16:26:03","20.9","54.2","29.7"
"4/28/2026","16:31:03","20.9","54.4","30.0"
"4/28/2026","16:36:03","20.9","54.4","30.1"
"4/28/2026","16:41:03","20.9","54.2","30.3"
"4/28/2026","16:46:03","20.9","54.1","29.9"
"4/28/2026","16:51:03","20.9","53.7","30.5"
"4/28/2026","16:56:03","20.9","53.7","29.7"
"4/28/2026","17:01:03","20.9","53.6","29.6"
"4/28/2026","17:06:03","20.9","53.5","30.0"
"4/28/2026","17:11:03","20.8","53.1","29.7"
"4/28/2026","17:16:03","20.8","53.2","30.0"
"4/28/2026","17:21:03","20.8","53.2","30.1"
"4/28/2026","17:26:03","20.8","53.4","30.3"
"4/28/2026","17:31:03","20.8","53.3","29.8"
"4/28/2026","17:36:03","20.7","53.5","30.3"
"4/28/2026","17:41:03","20.7","53.7","29.8"
"4/28/2026","17:46:03","20.7","53.5","30.2"
"4/28/2026","17:51:03","20.7","53.3","30.3"
"4/28/2026","17:56:03","20.7","53.4","30.6"
"4/28/2026","18:01:03","20.7","53.8","29.9"
"4/28/2026","18:06:03","20.7","53.7","30.7"
"4/28/2026","18:11:03","20.7","53.7","29.6"
"4/28/2026","18:16:03","20.6","53.6","30.4"
"4/28/2026","18:21:03","20.7","54.0","30.6"
"4/28/2026","18:26:03","20.7","53.6","30.1"
"4/28/2026","18:31:03","20.6","53.7","30.0"
"4/28/2026","18:36:03","20.6","54.0","30.7"
"4/28/2026","18:41:03","20.6","53.7","29.9"
"4/28/2026","18:46:03","20.6","53.5","29.9"
"4/28/2026","18:51:03","20.6","53.8","30.3"
"4/28/2026","18:56:03","20.7","53.3","30.4"
"4/28/2026","19:01:03","20.7","53.7","30.3"
"4/28/2026","19:06:03","20.7","53.6","30.1"
"4/28/2026","19:11:03","20.7","53.6","29.8"
"4/28/2026","19:16:03","20.7","53.8","30.2"
"4/28/2026","19:21:03","20.7","53.2","30.2"
"4/28/2026","19:26:03","20.7","53.1","29.8"
"4/28/2026","19:31:03","20.7","53.5","29.9"
"4/28/2026","19:36:03","20.7","53.1","30.1"
"4/28/2026","19:41:03","20.7","53.5","30.5"
"4/28/2026","19:46:03","20.7","53.1","30.3"
"4/28/2026","19:51:03","20.7","53.8","29.9"
"4/28/2026","19:56:03","20.7","53.2","29.9"
"4/28/2026","20:01:03","20.7","53.4","30.5"
"4/28/2026","20:06:03","20.8","53.8","29.8"
"4/28/2026","20:11:03","20.8","53.3","29.8"
"4/28/2026","20:16:03","20.8","53.1","28.7"
"4/28/2026","20:21:03","20.8","53.3","30.2"
"4/28/2026","20:26:03","20.8","53.3","29.8"
"4/28/2026","20:31:03","20.8","53.6","37.1"
"4/28/2026","20:36:03","20.7","53.7","29.1"
"4/28/2026","20:41:03","20.7","54.3","30.1"
"4/28/2026","20:46:03","20.6","54.2","30.2"
"4/28/2026","20:51:03","20.6","54.9","29.9"
"4/28/2026","20:56:03","20.6","55.8","29.7"
"4/28/2026","21:01:03","20.5","56.1","29.7"
"4/28/2026","21:06:03","20.6","56.0","29.9"
"4/28/2026","21:11:03","20.6","56.2","30.3"
"4/28/2026","21:16:03","20.6","56.8","29.8"
"4/28/2026","21:21:03","20.6","56.8","29.9"
"4/28/2026","21:26:03","20.6","56.7","31.0"
"4/28/2026","21:31:03","20.6","56.6","30.3"
"4/28/2026","21:36:03","20.6","56.7","30.5"
"4/28/2026","21:41:03","20.6","56.8","30.4"
"4/28/2026","21:46:03","20.6","56.8","30.4"
"4/28/2026","21:51:03","20.6","56.7","30.1"
"4/28/2026","21:56:03","20.6","56.7","29.6"
"4/28/2026","22:01:03","20.6","56.9","29.8"
"4/28/2026","22:06:03","20.6","56.8","30.2"
"4/28/2026","22:11:03","20.6","56.9","30.0"
"4/28/2026","22:16:03","20.6","56.9","30.0"
"4/28/2026","22:21:03","20.7","57.1","29.8"
"4/28/2026","22:26:03","20.7","57.1","30.2"
"4/28/2026","22:31:03","20.7","56.8","29.9"
"4/28/2026","22:36:03","20.7","57.0","29.9"
"4/28/2026","22:41:03","20.7","57.3","30.4"
"4/28/2026","22:46:03","20.7","57.1","30.2"
"4/28/2026","22:51:03","20.7","57.0","30.2"
"4/28/2026","22:56:03","20.7","56.7","29.8"
"4/28/2026","23:01:03","20.7","56.7","29.8"
"4/28/2026","23:06:03","20.7","56.9","29.7"
"4/28/2026","23:11:03","20.7","57.2","29.8"
"4/28/2026","23:16:03","20.7","57.1","30.1"
"4/28/2026","23:21:03","20.7","57.0","30.4"
"4/28/2026","23:26:03","20.7","57.0","29.8"
"4/28/2026","23:31:03","20.7","56.9","30.1"
"4/28/2026","23:36:03","20.7","57.1","30.1"
"4/28/2026","23:41:03","20.7","57.2","29.9"
"4/28/2026","23:46:03","20.8","57.6","29.7"
"4/28/2026","23:51:03","20.8","57.5","29.8"
"4/28/2026","23:56:03","20.8","57.3","29.9"
"4/29/2026","00:01:03","20.8","57.5","29.9"
"4/29/2026","00:06:03","20.8","57.4","30.2"
"4/29/2026","00:11:03","20.8","57.3","29.7"
"4/29/2026","00:16:03","20.8","57.4","29.9"
"4/29/2026","00:21:03","20.8","57.5","29.6"
"4/29/2026","00:26:03","20.8","57.3","30.1"
"4/29/2026","00:31:03","20.8","57.2","29.9"
"4/29/2026","00:36:03","20.8","57.8","30.1"
"4/29/2026","00:41:03","20.8","57.9","30.5"
"4/29/2026","00:46:03","20.8","57.4","30.2"
"4/29/2026","00:51:03","20.9","57.3","30.0"
"4/29/2026","00:56:03","20.9","57.4","30.1"
"4/29/2026","01:01:03","20.8","57.6","30.1"
"4/29/2026","01:06:03","20.9","57.5","30.0"
"4/29/2026","01:11:03","20.9","57.2","30.6"
"4/29/2026","01:16:03","20.9","57.3","30.0"
"4/29/2026","01:21:03","20.9","57.5","30.0"
"4/29/2026","01:26:03","20.9","57.4","29.9"
"4/29/2026","01:31:03","20.9","57.1","30.1"
"4/29/2026","01:36:03","20.9","57.2","30.0"
"4/29/2026","01:41:03","20.9","57.2","30.2"
"4/29/2026","01:46:03","20.9","57.2","29.8"
"4/29/2026","01:51:03","20.9","57.2","30.6"
"4/29/2026","01:56:03","20.9","57.2","30.0"
"4/29/2026","02:01:03","20.9","56.9","29.6"
"4/29/2026","02:06:03","20.9","56.7","29.8"
