"Key            Name:Suffix                                Trend Definitions Used"
"Point_1:","Point_15","","5 minutes"
"Point_2:","Point_80","","5 minutes"
"Point_3:","Point_145","","5 minutes"
"Time Interval:","5 Minutes"
"Date Range:","4/6/2026 00:00:00 - 4/6/2026 23:55:00"
"Report Timings:","All Hours"
""
"<>Date","Time","Point_1","Point_2","Point_3"
"4/6/2026","00:00:00","18.3","60.5","28.9"
"4/6/2026","00:05:00","18.3","60.4","30.1"
"4/6/2026","00:10:00","18.2","60.3","29.2"
"4/6/2026","00:15:00","18.2","60.6","29.5"
"4/6/2026","00:20:00","18.3","60.6","30.8"
"4/6/2026","00:25:00","18.2","60.3","30.8"
"4/6/2026","00:30:00","18.2","60.6","30.3"
"4/6/2026","00:35:00","18.2","60.6","29.5"
"4/6/2026","00:40:00","18.2","60.3","30.7"
"4/6/2026","00:45:00","18.2","60.6","28.5"
"4/6/2026","00:50:00","18.2","60.7","30.0"
"4/6/2026","00:55:00","18.1","60.4","30.0"
"4/6/2026","01:00:00","18.2","60.6","28.9"
"4/6/2026","01:05:00","18.2","60.7","30.2"
"4/6/2026","01:10:00","18.1","60.6","30.9"
"4/6/2026","01:15:00","18.1","60.8","32.1"
"4/6/2026","01:20:00","18.2","60.7","28.9"
"4/6/2026","01:25:00","18.2","60.5","29.4"
"4/6/2026","01:30:00","18.1","60.8","30.2"
"4/6/2026","01:35:00","18.2","60.7","29.7"
"4/6/2026","01:40:00","18.2","60.6","30.7"
"4/6/2026","01:45:00","18.1","60.5","30.7"
"4/6/2026","01:50:00","18.2","60.8","29.3"
"4/6/2026","01:55:00","18.2","60.6","32.2"
"4/6/2026","02:00:00","18.1","60.7","28.6"
"4/6/2026","02:05:00","18.1","60.9","30.4"
"4/6/2026","02:10:00","18.2","60.6","30.9"
"4/6/2026","02:15:00","18.1","60.6","29.5"
"4/6/2026","02:20:00","18.1","60.8","29.5"
"4/6/2026","02:25:00","18.2","60.8","29.1"
"4/6/2026","02:30:00","18.0","60.6","29.5"
"4/6/2026","02:35:00","18.1","60.9","30.2"
"4/6/2026","02:40:00","18.2","60.9","29.7"
"4/6/2026","02:45:00","18.1","60.7","29.2"
"4/6/2026","02:50:00","18.1","60.8","30.0"
"4/6/2026","02:55:00","18.2","60.8","30.0"
"4/6/2026","03:00:00","18.1","60.7","30.1"
"4/6/2026","03:05:00","18.0","60.8","30.7"
"4/6/2026","03:10:00","18.2","60.9","30.9"
"4/6/2026","03:15:00","18.1","60.6","29.8"
"4/6/2026","03:20:00","18.1","60.9","29.7"
"4/6/2026","03:25:00","18.1","60.9","29.0"
"4/6/2026","03:30:00","18.1","60.8","30.3"
"4/6/2026","03:35:00","18.0","61.0","30.6"
"4/6/2026","03:40:00","18.1","60.9","30.3"
"4/6/2026","03:45:00","18.1","60.9","29.8"
"4/6/2026","03:50:00","18.0","60.7","29.5"
"4/6/2026","03:55:00","18.1","61.0","30.5"
"4/6/2026","04:00:00","18.1","61.0","29.4"
"4/6/2026","04:05:00","18.0","60.6","31.1"
"4/6/2026","04:10:00","18.0","60.9","29.9"
"4/6/2026","04:15:00","18.1","60.9","30.3"
"4/6/2026","04:20:00","18.1","60.8","30.6"
"4/6/2026","04:25:00","18.0","60.9","30.4"
"4/6/2026","04:30:00","18.1","61.1","29.6"
"4/6/2026","04:35:00","18.1","60.8","30.1"
"4/6/2026","04:40:00","18.0","60.8","30.2"
"4/6/2026","04:45:00","18.1","61.2","29.3"
"4/6/2026","04:50:00","18.1","60.8","30.2"
"4/6/2026","04:55:00","18.0","61.0","30.1"
"4/6/2026","05:00:00","18.1","61.1","29.8"
"4/6/2026","05:05:00","18.1","61.0","29.4"
"4/6/2026","05:10:00","18.0","60.9","30.5"
"4/6/2026","05:15:00","18.1","61.0","29.4"
"4/6/2026","05:20:00","18.1","60.9","29.5"
"4/6/2026","05:25:00","18.0","60.8","30.5"
"4/6/2026","05:30:00","18.0","61.1","31.0"
"4/6/2026","05:35:00","18.1","60.9","30.9"
"4/6/2026","05:40:00","18.0","60.8","30.9"
"4/6/2026","05:45:00","18.0","61.2","30.7"
"4/6/2026","05:50:00","18.1","61.2","29.7"
"4/6/2026","05:55:00","18.0","60.8","28.5"
"4/6/2026","06:00:00","18.0","61.0","30.7"
"4/6/2026","06:05:00","18.1","61.1","29.5"
"4/6/2026","06:10:00","18.0","60.9","29.3"
"4/6/2026","06:15:00","18.0","61.2","31.3"
"4/6/2026","06:20:00","18.1","61.1","30.4"
"4/6/2026","06:25:00","18.1","60.8","29.4"
"4/6/2026","06:30:00","18.0","60.9","30.2"
"4/6/2026","06:35:00","18.0","61.1","30.2"
"4/6/2026","06:40:00","18.1","60.9","29.5"
"4/6/2026","06:45:00","18.0","61.1","30.9"
"4/6/2026","06:50:00","18.0","61.2","29.2"
"4/6/2026","06:55:00","18.1","61.1","29.2"
"4/6/2026","07:00:00","18.0","61.1","30.7"
"4/6/2026","07:05:00","18.0","61.2","29.1"
"4/6/2026","07:10:00","18.1","61.1","29.6"
"4/6/2026","07:15:00","18.0","61.0","31.5"
"4/6/2026","07:20:00","18.0","61.4","31.0"
"4/6/2026","07:25:00","18.0","61.2","30.6"
"4/6/2026","07:30:00","18.0","61.2","30.6"
"4/6/2026","07:35:00","17.9","61.5","29.6"
"4/6/2026","07:40:00","17.9","61.9","30.5"
